Board,Draft Year,Board Size,Consensus Lottery,Consensus Top 30,Consensus Top 60,NBA Draft Lottery,NBA Draft Top 30,NBA Draft Top 60,Redraft Lottery,Redraft Top 30,Redraft Top 60,EPM Lottery,EPM Top 30,EPM Top 60,EW Lottery,EW Top 30,EW Top 60,Consensus-L %ile,Consensus-L z-score,Consensus-T30 %ile,Consensus-T30 z-score,Consensus-T60 %ile,Consensus-T60 z-score,NBA-L %ile,NBA-L z-score,NBA-T30 %ile,NBA-T30 z-score,NBA-T60 %ile,NBA-T60 z-score,R-L %ile,R-L z-score,R-T30 %ile,R-T30 z-score,R-T60 %ile,R-T60 z-score,EPM-L %ile,EPM-L z-score,EPM-T30 %ile,EPM-T30 z-score,EPM-T60 %ile,EPM-T60 z-score,EW-L %ile,EW-L z-score,EW-T30 %ile,EW-T30 z-score,EW-T60 %ile,EW-T60 z-score,avg L z-score,Lottery Rank,Lottery %ile,avg T30 z-score,Top 30 Rank,Top 30 %ile,avg T60 z-score,Top 60 Rank,Top 60 %ile,DARKO Lottery,DARKO Top 30,DARKO Top 60,LEBRON Lottery,LEBRON Top 30,LEBRON Top 60,WAR Lottery,WAR Top 30,WAR Top 60,DARKO-L %ile,DARKO-L z-score,DARKO-T30 %ile,DARKO-T30 z-score,DARKO-T60 %ile,DARKO-T60 z-score,LEBRON-L %ile,LEBRON-L z-score,LEBRON-T30 %ile,LEBRON-T30 z-score,LEBRON-T60 %ile,LEBRON-T60 z-score,WAR-L %ile,WAR-L z-score,WAR-T30 %ile,WAR-T30 z-score,WAR-T60 %ile,WAR-T60 z-score
Consensus,2020,192,0,0,0,0.525,0.796,0.75,596.85,560.868,517.322,1.127,1.343,1.34,6.56,5.99,4.923,,,,,,,0.742,0.75,0.823,0.98,0.732,0.63,0.857,1.08,0.825,1.14,0.905,1.09,0.825,1.06,0.73,0.48,0.952,1.53,0.683,0.53,0.841,0.70,0.81,0.74,0.891,10,0.857,0.777,11,0.841,1.121,5,0.905,0.841,0.932,1.106,0.791,0.916,1.023,4.59,3.927,3.183,0.857,0.90,0.889,0.94,0.738,0.71,0.794,0.87,0.778,0.76,0.833,0.98,0.778,0.80,0.889,1.11,0.905,1.04
MavsDraft,2020,150,3.427,5.57,8.885,0.626,0.747,0.77,849.62,749.839,654.298,1.411,1.442,1.541,7.578,7.046,5.503,0.21,-0.19,0.306,-0.21,0.293,-0.12,0.839,1.17,0.726,0.65,0.805,0.79,0.048,-1.63,0,-2.65,0.024,-1.62,0.095,-1.24,0.27,-0.52,0.476,-0.27,0.206,-0.89,0.095,-1.24,0.524,-0.05,-1.253,59,0.079,-1.470,63,0.016,-0.648,34,0.214,0.991,1.077,1.202,0.967,1.077,1.173,5.591,5.156,3.965,0.238,-0.38,0.159,-0.63,0.19,-0.68,0.175,-1.15,0.048,-1.80,0.024,-1.96,0.286,-0.59,0.032,-2.12,0.167,-0.70
Hoops Prospects,2020,150,3.544,6.648,9.023,0.719,0.884,0.852,641.255,632.044,530.174,1.246,1.35,1.403,6.788,7.261,4.678,0.194,-0.23,0.161,-0.57,0.268,-0.15,0.968,1.56,0.984,1.56,0.976,1.45,0.746,0.61,0.413,-0.29,0.786,0.83,0.556,0.10,0.714,0.41,0.786,0.97,0.619,0.21,0.048,-1.64,0.905,1.08,0.305,25,0.619,-0.503,52,0.190,0.959,8,0.833,0.934,1.057,1.096,0.805,0.905,1.003,4.887,4.703,3.226,0.54,0.11,0.286,-0.42,0.786,0.86,0.714,0.71,0.857,0.94,0.929,1.37,0.651,0.39,0.206,-0.93,0.857,0.94
@thunderdustin,2020,112,3.662,6.708,10.072,0.538,0.806,0.784,727.376,653.367,608.527,1.448,1.516,1.605,7.493,7.062,5.55,0.177,-0.28,0.145,-0.59,0.146,-0.44,0.774,0.81,0.855,1.04,0.854,0.90,0.381,-0.32,0.159,-0.71,0.238,-0.72,0.063,-1.54,0.063,-1.26,0.238,-0.85,0.254,-0.78,0.079,-1.27,0.5,-0.11,-0.877,50,0.222,-1.083,59,0.079,-0.560,30,0.310,1.075,1.182,1.238,0.977,1.079,1.163,5.653,4.645,3.741,0.143,-1.10,0.016,-1.77,0.024,-1.20,0.111,-1.27,0.032,-1.84,0.048,-1.76,0.206,-0.67,0.238,-0.78,0.5,-0.20
FindingTre,2020,110,1.718,3.016,5.392,0.657,0.914,0.844,665.281,596.414,538.564,1.164,1.374,1.455,6.922,6.279,5.019,0.694,0.45,0.823,0.62,0.902,0.85,0.903,1.30,1,1.75,0.951,1.38,0.619,0.35,0.698,0.43,0.69,0.67,0.746,0.76,0.603,0.17,0.667,0.50,0.524,0.02,0.476,0.17,0.738,0.61,0.378,23,0.651,0.257,20,0.698,0.593,14,0.690,0.82,1.008,1.142,0.751,0.953,1.073,4.865,4.162,3.25,0.873,1.08,0.556,0.11,0.595,0.19,0.905,1.33,0.54,0.17,0.524,0.00,0.667,0.42,0.651,0.49,0.786,0.89
Draft Central,2020,100,1.171,1.861,4.305,0.411,0.695,0.671,807.82,641.009,597.468,1.35,1.397,1.556,7.776,6.587,6.282,0.903,0.66,0.984,0.99,1,1.15,0.581,0.28,0.565,0.31,0.512,0.00,0.111,-1.18,0.27,-0.47,0.357,-0.50,0.175,-0.74,0.476,-0.06,0.405,-0.41,0.095,-1.17,0.254,-0.40,0.024,-1.12,-1.031,55,0.143,-0.308,44,0.317,-0.674,36,0.167,0.986,0.965,1.157,0.919,0.972,1.09,6.054,4.552,4.014,0.254,-0.34,0.778,0.58,0.5,-0.03,0.254,-0.60,0.476,-0.13,0.333,-0.33,0.095,-1.23,0.27,-0.53,0.095,-0.81
@bjpf_,2020,100,2.144,4.092,8.096,0.248,0.608,0.613,806.192,641.384,618.647,1.36,1.539,1.703,7.77,6.261,6.042,0.565,0.29,0.548,0.27,0.415,0.10,0.323,-0.40,0.339,-0.26,0.244,-0.46,0.127,-1.16,0.254,-0.47,0.143,-0.92,0.159,-0.83,0.016,-1.50,0.024,-1.73,0.127,-1.16,0.524,0.20,0.095,-0.79,-1.049,56,0.127,-0.589,55,0.143,-1.144,42,0.024,1.004,1.066,1.236,0.936,1.034,1.158,6.138,4.521,4.162,0.206,-0.49,0.222,-0.51,0.048,-1.17,0.222,-0.80,0.079,-1.12,0.071,-1.66,0.079,-1.35,0.286,-0.45,0.024,-1.14
@mneff3710,2020,99,2.187,3.758,7.394,0.279,0.628,0.637,839.149,741.653,631.912,1.244,1.486,1.635,8.007,6.687,6.018,0.5,0.28,0.597,0.37,0.61,0.29,0.403,-0.27,0.371,-0.13,0.293,-0.27,0.063,-1.51,0.016,-2.49,0.071,-1.18,0.587,0.12,0.159,-0.96,0.119,-1.12,0.032,-1.49,0.19,-0.58,0.119,-0.75,-0.964,54,0.159,-1.343,60,0.063,-1.017,41,0.048,0.87,1.021,1.167,0.858,1,1.085,6.472,5.131,4.16,0.73,0.65,0.508,-0.03,0.429,-0.17,0.524,0.10,0.333,-0.58,0.429,-0.23,0.048,-1.81,0.048,-2.05,0.071,-1.13
Kevin Pelton (ESPN),2020,99,5.481,8.557,15.333,0.165,0.519,0.6,480.213,525.838,518.643,1.058,1.353,1.618,7.298,6.268,5.214,0.081,-0.96,0.032,-1.19,0.024,-1.89,0.21,-0.75,0.194,-0.85,0.171,-0.56,1,2.33,0.984,1.85,0.881,1.06,0.984,1.62,0.683,0.38,0.167,-0.96,0.333,-0.50,0.508,0.19,0.643,0.35,1.151,5,0.937,0.808,9,0.873,0.147,17,0.619,0.97,1.088,1.217,0.814,0.995,1.116,4.09,3.962,3.309,0.349,-0.20,0.095,-0.75,0.143,-0.90,0.698,0.61,0.365,-0.50,0.167,-0.84,0.921,1.50,0.873,1.02,0.738,0.76
@nbadraftbuzz1,2020,98,2.57,3.085,7.065,0.275,0.752,0.759,589.202,569.57,511.156,1.311,1.36,1.445,6.452,6.494,5.191,0.371,0.13,0.79,0.59,0.683,0.38,0.387,-0.29,0.742,0.69,0.756,0.71,0.889,1.17,0.794,0.97,0.929,1.21,0.302,-0.43,0.667,0.31,0.69,0.59,0.714,0.68,0.317,-0.22,0.667,0.38,0.472,20,0.698,0.353,18,0.730,0.725,12,0.738,0.965,0.957,1.079,0.877,0.858,1.023,4.404,4.13,3.248,0.381,-0.16,0.825,0.67,0.929,1.10,0.429,-0.12,0.952,1.69,0.833,0.98,0.857,1.06,0.698,0.58,0.81,0.89
