Board,Board Size,Names Entered,Completed?,Total Boards:,104,Total Ranks:,6883,Left to enter:,6,Prospects Per Board:,66.2
@AneeshNamburi,100,100,Yes,,,,,,,,
@BryanKalbrosky,100,100,Yes,,,,,,,,
MavsDraft,100,100,Yes,,,,,,,,
@MPops8,100,100,Yes,,,,,,,,
@CediBetter,99,99,Yes,,,,,,,,
@BrianJDraft,99,99,Yes,,,,,,,,
@laMAXoball,99,99,Yes,,,,,,,,
@OpticalHoops,99,99,Yes,,,,,,,,
@BaturePreacher,99,99,Yes,,,,,,,,
@fra_sempru,99,99,Yes,,,,,,,,
@bullschecha,98,98,Yes,,,,,,,,
@H00P_Talk,98,98,Yes,,,,,,,,
@wolves_culture,97,97,Yes,,,,,,,,
Alexandre Berthaud,97,97,Yes,,,,,,,,
@ZP12Hoops,96,96,Yes,,,,,,,,
@Alan_Guillou96,96,96,Yes,,,,,,,,
@therealStargon,96,96,Yes,,,,,,,,
Emmanuel Le Neve,96,96,Yes,,,,,,,,
@jwi23,92,92,Yes,,,,,,,,
@report_court,90,90,Yes,,,,,,,,
@SkipPasses,90,90,Yes,,,,,,,,
@SFLGT,87,87,Yes,,,,,,,,
@KnicksDraft,85,85,Yes,,,,,,,,
@qkhoops,84,84,Yes,,,,,,,,
@tmetcalf11,84,84,Yes,,,,,,,,
@ChuckingDarts,83,83,Yes,,,,,,,,
@TylerKnowsBall,83,83,Yes,,,,,,,,
@cjmarchesani,80,80,Yes,,,,,,,,
@Daniel_Sherm14,79,79,Yes,,,,,,,,
@DraftPow,79,79,Yes,,,,,,,,
@kalidrafts,77,77,Yes,,,,,,,,
@ram_dub,75,75,Yes,,,,,,,,
@ADSohn,75,75,Yes,,,,,,,,
@jaynay1,75,75,Yes,,,,,,,,
@DraftDummies,74,74,Yes,,,,,,,,
@iamdamonallred,74,74,Yes,,,,,,,,
@kanyegotti,74,74,Yes,,,,,,,,
@sportsbydavis,74,74,Yes,,,,,,,,
@NBADraftNerd,73,73,Yes,,,,,,,,
@yeezy_bear,73,73,Yes,,,,,,,,
@codyreeves14,70,70,Yes,,,,,,,,
@halfawaketakes,70,70,Yes,,,,,,,,
@Will_Rucker3_AD,70,70,Yes,,,,,,,,
@TheJacksonDylan,69,69,Yes,,,,,,,,
@thecity2,68,68,Yes,,,,,,,,
@Steinshowout,67,67,Yes,,,,,,,,
@DmvDwayne,65,65,Yes,,,,,,,,
@mikegrib8,65,65,Yes,,,,,,,,
@PelsDraft,65,65,Yes,,,,,,,,
@deanondraft,62,62,Yes,,,,,,,,
@cadecwalker,61,61,Yes,,,,,,,,
@BeenThrifty,60,60,Yes,,,,,,,,
@cooper_rockets,60,60,Yes,,,,,,,,
@coupe_pat,60,60,Yes,,,,,,,,
@ephelant48,60,60,Yes,,,,,,,,
@findingneema23,60,60,Yes,,,,,,,,
@okachuwku,60,60,Yes,,,,,,,,
@SloanImperative,60,60,Yes,,,,,,,,
Benoit Lelievre,60,60,Yes,,,,,,,,
@EZ_Hoops,60,60,Yes,,,,,,,,
@w_a_morris,60,60,Yes,,,,,,,,
@JKokoDraftTalk,59,59,Yes,,,,,,,,
@British_Buzz,59,59,Yes,,,,,,,,
@thebigwafe,59,59,Yes,,,,,,,,
@raminoid2,59,59,Yes,,,,,,,,
@D13Drafts,58,58,Yes,,,,,,,,
Niko Scouting,57,57,Yes,,,,,,,,
@szahn_bball,57,57,Yes,,,,,,,,
@OSklansky,57,57,Yes,,,,,,,,
@IanFranz_,55,55,Yes,,,,,,,,
@_jameskohout,53,53,Yes,,,,,,,,
@ddiop,51,51,Yes,,,,,,,,
@CeefoBane,50,50,Yes,,,,,,,,
@GtownSports,50,50,Yes,,,,,,,,
@jko140,50,50,Yes,,,,,,,,
@rafael_uehara,50,50,Yes,,,,,,,,
@Torben,49,49,Yes,,,,,,,,
@TerranovaNoah,47,47,Yes,,,,,,,,
@DraftCeltics,45,45,Yes,,,,,,,,
@TrynaNotKMS,45,45,Yes,,,,,,,,
@ltamar_17_10,44,44,Yes,,,,,,,,
@NotZay22,40,40,Yes,,,,,,,,
@smilodonjosh,40,40,Yes,,,,,,,,
@hoopstrategy21,34,34,Yes,,,,,,,,
@sftraining4,34,34,Yes,,,,,,,,
@TheStrickland,31,31,Yes,,,,,,,,
@405Fan,30,30,Yes,,,,,,,,
@advancedstats23,30,30,Yes,,,,,,,,
@BTKJon,30,30,Yes,,,,,,,,
@sbn_ricky,30,30,Yes,,,,,,,,
@stephanl77,30,30,Yes,,,,,,,,
@thisguythanh,30,30,Yes,,,,,,,,
@lw14Robbie,29,29,Yes,,,,,,,,
@badkidcreamcity,29,29,Yes,,,,,,,,
@BasketballSage1,29,29,Yes,,,,,,,,
@TKanbach,29,29,Yes,,,,,,,,
@HoopIntellect,60,60,Yes,,,,,,,,
Nick Heintzman,30,30,Yes,,,,,,,,
Kevin O'Connor (The Ringer),70,70,Yes,,,,,,,,
Sam Vecenie (The Athletic),100,100,Yes,,,,,,,,
John Hollinger (The Athletic),70,67,Partial,"*3 withdrawls (Roko Prkacin, Yoan Makoundou, & Ariel Hukporti)",,,,,,,
Kevin Broom (YODA),50,50,Yes,,,,,,,,
@JeremyWoo (Sports Illustrated),80,77,Partial,"*3 withdrawls (Roko Prkacin, Ariel Hukporti, & Ibou Badji)",,,,,,,
Ryan O'Hara (Hoop Scout),40,40,Yes,,,,,,,,
