Board,Board Size,Names Entered,Completed?,Issues*,Link 1,Link 2,Link 3,Total Boards:,104,Total Ranks:,6883,Left to enter:,6,Prospects Per Board:,66.2
@AneeshNamburi,100,100,Yes,,https://x.com/AneeshNamburi,,,,,,,,,,
@BryanKalbrosky,100,100,Yes,,https://x.com/BryanKalbrosky,,,,,,,,,,
MavsDraft,100,100,Yes,,https://mavsdraft.com/final-2021-nba-draft-big-board/,https://x.com/mavsdraft,,,,,,,,,
@MPops8,100,100,Yes,,https://x.com/MPops8,,,,,,,,,,
@CediBetter,99,99,Yes,,https://x.com/CediBetter,,,,,,,,,,
@BrianJNBA,99,99,Yes,,https://x.com/BrianJNBA,,,,,,,,,,
@laMAXoball,99,99,Yes,,https://x.com/laMAXoball,,,,,,,,,,
@OpticalHoops,99,99,Yes,,https://x.com/OpticalHoops,,,,,,,,,,
@BaturePreacher,99,99,Yes,,,,,,,,,,,,
@fra_sempru,99,99,Yes,,https://x.com/fra_sempru,,,,,,,,,,
@bullschecha,98,98,Yes,,,,,,,,,,,,
@H00P_Talk,98,98,Yes,,,,,,,,,,,,
@wolves_culture,97,97,Yes,,https://x.com/wolves_culture,,,,,,,,,,
Alexandre Berthaud,97,97,Yes,,,,,,,,,,,,
@ZP12Hoops,96,96,Yes,,https://x.com/ZP12Hoops,,,,,,,,,,
@Alan_Guillou96,96,96,Yes,,https://x.com/Alan_Guillou96,,,,,,,,,,
@therealStargon,96,96,Yes,,https://x.com/therealStargon,,,,,,,,,,
Emmanuel Le Neve,96,96,Yes,,,,,,,,,,,,
@jwi23,92,92,Yes,,https://x.com/jwi23,,,,,,,,,,
@report_court,90,90,Yes,,https://x.com/report_court,,,,,,,,,,
@SkipPasses,90,90,Yes,,https://x.com/SkipPasses,,,,,,,,,,
@SFLGT,87,87,Yes,,https://x.com/SFLGT,,,,,,,,,,
@KnicksDraft,85,85,Yes,,,,,,,,,,,,
@qkhoops,84,84,Yes,,https://x.com/qkhoops,,,,,,,,,,
@tmetcalf11,84,84,Yes,,https://x.com/tmetcalf11,,,,,,,,,,
@ChuckingDarts,83,83,Yes,,https://x.com/ChuckingDarts,https://bsky.app/profile/chuckingdartsnba.bsky.social,,,,,,,,,
@TylerKnowsBall,83,83,Yes,,https://x.com/TylerKnowsBall,,,,,,,,,,
@cjmarchesani,80,80,Yes,,https://x.com/cjmarchesani,,,,,,,,,,
@Daniel_Sherm14,79,79,Yes,,https://x.com/Daniel_Sherm14,,,,,,,,,,
@DraftPow,79,79,Yes,,https://x.com/DraftPow,,,,,,,,,,
@kalidrafts,77,77,Yes,,https://x.com/kalidrafts,https://kalidrafts.com/,,,,,,,,,
@ram_dub,75,75,Yes,,https://x.com/ram_dub,,,,,,,,,,
@ADSohn,75,75,Yes,,https://x.com/ADSohn,,,,,,,,,,
@jaynay1,75,75,Yes,,https://x.com/jaynay1,,,,,,,,,,
@DraftDummies,74,74,Yes,,https://x.com/DraftDummies,,,,,,,,,,
@iamdamonallred,74,74,Yes,,https://x.com/iamdamonallred,,,,,,,,,,
@kanyegotti,74,74,Yes,,,,,,,,,,,,
@sportsbydavis,74,74,Yes,,https://x.com/sportsbydavis,,,,,,,,,,
@NBADraftNerd,73,73,Yes,,https://x.com/NBADraftNerd,,,,,,,,,,
@yeezy_bear,73,73,Yes,,https://x.com/yeezy_bear,,,,,,,,,,
@codyreeves14,70,70,Yes,,https://x.com/codyreeves14,,,,,,,,,,
@halfawaketakes,70,70,Yes,,https://x.com/halfawaketakes,,,,,,,,,,
@Will_Rucker3_AD,70,70,Yes,,https://x.com/Will_Rucker3_AD,,,,,,,,,,
@TheJacksonDylan,69,69,Yes,,,,,,,,,,,,
@thecity2,68,68,Yes,,,,,,,,,,,,
@Steinshowout,67,67,Yes,,,,,,,,,,,,
@DmvDwayne,65,65,Yes,,,,,,,,,,,,
@mikegrib8,65,65,Yes,,https://x.com/mikegrib8,,,,,,,,,,
@PelsDraft,65,65,Yes,,https://x.com/PelsDraft,,,,,,,,,,
@deanondraft,62,62,Yes,,https://x.com/deanondraft,,,,,,,,,,
@CadeCWalker,61,61,Yes,,https://x.com/CadeCWalker,,,,,,,,,,
@beenthrifty,60,60,Yes,,https://x.com/beenthrifty,,,,,,,,,,
@cooper_rockets,60,60,Yes,,,,,,,,,,,,
@coupe_pat,60,60,Yes,,,,,,,,,,,,
@ephelant48,60,60,Yes,,https://x.com/ephelant48,,,,,,,,,,
@findingneema23,60,60,Yes,,,,,,,,,,,,
@Okachukwudi,60,60,Yes,,https://x.com/Okachukwudi,,,,,,,,,,
@SloanImperative,60,60,Yes,,,,,,,,,,,,
@BenoitLelievre,60,60,Yes,,https://x.com/BenoitLelievre,,,,,,,,,,
@EZ_Hoops,60,60,Yes,,https://x.com/EZ_Hoops,,,,,,,,,,
@w_a_morris,60,60,Yes,,https://x.com/w_a_morris,,,,,,,,,,
@JKokoDraftTalk,59,59,Yes,,,,,,,,,,,,
@British_Buzz,59,59,Yes,,https://x.com/British_Buzz,,,,,,,,,,
@thebigwafe,59,59,Yes,,https://x.com/thebigwafe,,,,,,,,,,
@raminoid2,59,59,Yes,,,,,,,,,,,,
@D13Drafts,58,58,Yes,,https://x.com/D13Drafts,,,,,,,,,,
Niko Scouting,57,57,Yes,,https://x.com/nikoScouting,,,,,,,,,,
@szahn_bball,57,57,Yes,,https://x.com/szahn_bball,,,,,,,,,,
@OSklansky,57,57,Yes,,https://x.com/OSklansky,,,,,,,,,,
@IanFranz_,55,55,Yes,,https://x.com/IanFranz_,,,,,,,,,,
@_jameskohout,53,53,Yes,,,,,,,,,,,,
@ddiop,51,51,Yes,,https://x.com/ddiop,,,,,,,,,,
@CeefoBane,50,50,Yes,,,,,,,,,,,,
@GtownSports,50,50,Yes,,https://x.com/GtownSports,,,,,,,,,,
@jko140,50,50,Yes,,,,,,,,,,,,
@rafael_uehara,50,50,Yes,,https://x.com/rafael_uehara,,,,,,,,,,
@Torben,49,49,Yes,,,,,,,,,,,,
@TerranovaNoah,47,47,Yes,,https://x.com/TerranovaNoah,,,,,,,,,,
@DraftCeltics,45,45,Yes,,https://x.com/DraftCeltics,,,,,,,,,,
@TrynaNotKMS,45,45,Yes,,https://x.com/TrynaNotKMS,,,,,,,,,,
@ltamar_17_10,44,44,Yes,,https://x.com/Itamar_17_10,,,,,,,,,,
@NotZay22,40,40,Yes,,https://x.com/NotZay22,,,,,,,,,,
@smilodonjosh,40,40,Yes,,,,,,,,,,,,
@hoopstrategy21,34,34,Yes,,https://x.com/hoopstrategy21,,,,,,,,,,
@sftraining4,34,34,Yes,,,,,,,,,,,,
@TheStrickland,31,31,Yes,,https://x.com/TheStrickland,,,,,,,,,,
@405Fan,30,30,Yes,,https://x.com/405Fan,,,,,,,,,,
@advancedstats23,30,30,Yes,,https://x.com/advancedstats23,,,,,,,,,,
@BtkJon,30,30,Yes,,https://x.com/BtkJon,,,,,,,,,,
@SBN_Ricky,30,30,Yes,,https://x.com/SBN_Ricky,,,,,,,,,,
@stephanl77,30,30,Yes,,https://x.com/stephanl77,,,,,,,,,,
@thisguythanh,30,30,Yes,,,,,,,,,,,,
@lw14Robbie,29,29,Yes,,https://x.com/lw14Robbie,,,,,,,,,,
@badkidcreamcity,29,29,Yes,,https://x.com/badkidcreamcity,,,,,,,,,,
@BasketballSage1,29,29,Yes,,https://x.com/BasketballSage1,,,,,,,,,,
@TKanbach,29,29,Yes,,https://x.com/TKanbach,,,,,,,,,,
@HoopIntelllect,60,60,Yes,,https://www.youtube.com/watch?v=7ELL9XmUvzw,https://x.com/HoopIntelllect,,,,,,,,,
Nick Heintzman,30,30,Yes,,https://www.nba-draft-scouting.com/post/2021-big-board,,,,,,,,,,
Kevin O'Connor (The Ringer),70,70,Yes,,https://nbadraft.theringer.com/2021/,https://x.com/KevinOConnor,https://www.youtube.com/playlist?list=PLtAg01865jDfvaiOL5KNcdogZDIw5uI59,,,,,,,,
Sam Vecenie (The Athletic),100,100,Yes,,https://www.nytimes.com/athletic/2718151/2021/07/27/top-100-nba-draft-prospects-for-2021-final-rankings-tiers-and-big-board/,https://x.com/Sam_Vecenie/,https://www.youtube.com/c/gametheorypodcastwsamvecenie,,,,,,,,
John Hollinger (The Athletic),70,67,Partial,"*3 withdrawls (Roko Prkacin, Yoan Makoundou, & Ariel Hukporti)",https://www.nytimes.com/athletic/2700529/2021/07/14/hollingers-top-70-players-for-the-2021-nba-draft-cade-no-1-and-why-alperen-sengun-deserves-more-hype/,https://bsky.app/profile/johnhollinger.bsky.social,,,,,,,,,
Kevin Broom (YODA),50,50,Yes,,https://www.bulletsforever.com/2021/7/29/22598081/2021-nba-draft-the-yoda-big-board-jalen-suggs-evan-mobley-cade-cunningham-alperen-sengun,,,,,,,,,,
@JeremyWoo (Sports Illustrated),80,77,Partial,"*3 withdrawls (Roko Prkacin, Ariel Hukporti, & Ibou Badji)",https://www.si.com/nba/2021/07/08/nba-draft-big-board-top-80-prospect-rankings-cade-cunningham-evan-mobley,https://x.com/JeremyWoo,,,,,,,,,
Ryan O'Hara (Hoop Scout),40,40,Yes,,https://hoopscoutftp.com/final-2021-nba-draft-big-board/,,,,,,,,,,
