Board,Board Size,Names Entered,Completed?,Issues*,Link 1,Link 2,Link 3,Total Boards:,71,Total Ranks:,4358,Left to enter:,1,Prospects Per Board:,61.4
@ZP12Hoops,100,100,Yes,,https://x.com/ZP12Hoops,,,,,,,,,,
ESPN,100,100,Yes,,https://www.espn.com/nba/story/_/id/37869579/2023-nba-draft-guide-date-how-watch-top-prospects,,,,,,,,,,
@journalistnate,100,100,Yes,,,,,,,,,,,,
HoopSocial,100,100,Yes,,https://hoop-social.com/2023-nba-draft-prospect-rankings/,https://x.com/hoop_social,,,,,,,,,
MavsDraft,100,100,Yes,,https://mavsdraft.com/final-2023-big-board/,https://x.com/mavsdraft,,,,,,,,,
@report_court,100,100,Yes,,https://x.com/report_court,,,,,,,,,,
@statssnyder,100,100,Yes,,,,,,,,,,,,
@GlobalScouting_,100,100,Yes,,https://x.com/GlobalScouting_,,,,,,,,,,
NBADraft.net,99,99,Yes,,https://www.nbadraft.net/ranking/bigboard/?year-ranking=2023,,,,,,,,,,
@BrianJNBA,98,98,Yes,,https://x.com/BrianJNBA,,,,,,,,,,
CBS Sports,90,90,Yes,,https://www.cbssports.com/nba/news/2023-nba-draft-big-board-final-prospect-rankings-and-the-players-our-experts-feel-strongest-about/,,,,,,,,,,
@bjpf_,89,89,Yes,,https://x.com/bjpf_?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.youtube.com/@benpfeifer8192,,,,,,,,,
@kalidrafts,88,88,Yes,,https://x.com/kalidrafts,https://kalidrafts.com/,,,,,,,,,
@codyreeves14,85,85,Yes,,https://x.com/codyreeves14,,,,,,,,,,
@jaynay1,75,75,Yes,,https://x.com/jaynay1,,,,,,,,,,
@LoganA_NBA,72,72,Yes,,,,,,,,,,,,
Tankathon,71,71,Yes,,,,,,,,,,,,
@bcb_75,70,70,Yes,,https://x.com/bcb_75,,,,,,,,,,
@halfawaketakes,70,70,Yes,,https://x.com/halfawaketakes,,,,,,,,,,
Kevin O'Connor (The Ringer),63,63,Yes,,https://nbadraft.theringer.com/2023/,https://x.com/KevinOConnor,https://www.youtube.com/playlist?list=PLtAg01865jDfvaiOL5KNcdogZDIw5uI59,,,,,,,,
@Okachukwudi,63,63,Yes,,https://x.com/Okachukwudi,,,,,,,,,,
@DraftDummies,61,61,Yes,,https://x.com/DraftDummies,,,,,,,,,,
@CannibalSerb,61,61,Yes,,https://x.com/CannibalSerb,,,,,,,,,,
@Double_PG,60,60,Yes,,https://x.com/Double_PG,,,,,,,,,,
@D13Drafts,60,60,Yes,,https://x.com/D13Drafts,,,,,,,,,,
@GMB2K,60,60,Yes,,https://x.com/GMB2K,,,,,,,,,,
@soupdrafts,60,60,Yes,,,,,,,,,,,,
@Davis_Ray10,60,60,Yes,,,,,,,,,,,,
@thebigwafe,60,60,Yes,,https://x.com/thebigwafe,,,,,,,,,,
@shello510,60,60,Yes,,,,,,,,,,,,
@EDemirNBA,60,60,Yes,,https://x.com/EDemirNBA,,,,,,,,,,
@tanguyromclav,60,60,Yes,,https://x.com/tanguyromclav,,,,,,,,,,
MBRR,60,60,Yes,,,,,,,,,,,,
@YozUndrafted,59,59,Yes,,,,,,,,,,,,
