Board,Draft Year,Board Size,Consensus Lottery,Consensus-L %ile,Consensus-L z-score,Consensus Top 30,Consensus-T30 %ile,Consensus-T30 z-score,Consensus Top 60,Consensus-T60 %ile,Consensus-T60 z-score,NBA Draft Lottery,NBA-L %ile,NBA-L z-score,NBA Draft Top 30,NBA-T30 %ile,NBA-T30 z-score,NBA Draft Top 60,NBA-T60 %ile,NBA-T60 z-score,Redraft Lottery,R-L %ile,R-L z-score,Redraft Top 30,R-T30 %ile,R-T30 z-score,Redraft Top 60,R-T60 %ile,R-T60 z-score,EPM Lottery,EPM-L %ile,EPM-L z-score,EPM Top 30,EPM-T30 %ile,EPM-T30 z-score,EPM Top 60,EPM-T60 %ile,EPM-T60 z-score,EW Lottery,EW-L %ile,EW-L z-score,EW Top 30,EW-T30 %ile,EW-T30 z-score,EW Top 60,EW-T60 %ile,EW-T60 z-score,avg L z-score,Lottery Rank,Lottery %ile,avg T30 z-score,Top 30 Rank,Top 30 %ile,avg T60 z-score,Top 60 Rank,Top 60 %ile,DARKO Lottery,DARKO Top 30,DARKO Top 60,LEBRON Lottery,LEBRON Top 30,LEBRON Top 60,WAR Lottery,WAR Top 30,WAR Top 60,DARKO-L %ile,DARKO-L z-score,DARKO-T30 %ile,DARKO-T30 z-score,DARKO-T60 %ile,DARKO-T60 z-score,LEBRON-L %ile,LEBRON-L z-score,LEBRON-T30 %ile,LEBRON-T30 z-score,LEBRON-T60 %ile,LEBRON-T60 z-score,WAR-L %ile,WAR-L z-score,WAR-T30 %ile,WAR-T30 z-score,WAR-T60 %ile,WAR-T60 z-score
Consensus,2023,176,0,,,0,,,0,,,0.626,0.423,0.07,0.857,0.942,1.11,0.846,0.738,0.79,395.038,0.917,1.30,447.146,0.8,0.82,470.794,0.842,0.93,1.002,0.792,0.92,1.263,0.614,0.41,1.377,0.895,1.16,1.887,0.556,0.25,1.802,0.571,0.25,2.037,0.158,-0.92,0.822,11,0.861,0.496,21,0.714,0.387,15,0.632,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ZP12Hoops,2023,100,3.257,0.155,-0.97,4.336,0.217,-0.39,6.04,0.378,-0.20,0.486,0.141,-1.11,0.66,0.217,-0.60,0.764,0.286,-0.48,462.713,0.389,-0.15,448.276,0.757,0.79,472.571,0.763,0.87,1.233,0.181,-0.94,1.138,1,1.91,1.426,0.737,0.69,1.809,0.792,0.63,1.724,0.771,0.67,1.691,0.816,0.97,-0.150,46,0.375,1.124,4,0.957,0.844,7,0.842,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPN,2023,100,1.523,0.535,0.28,2.425,0.797,0.67,3.479,0.811,0.94,0.78,0.944,1.37,0.891,1,1.41,0.895,1,1.56,427.206,0.722,0.61,439.467,0.886,1.03,431.971,1,2.17,1.273,0.153,-1.26,1.298,0.543,-0.01,1.351,0.947,1.40,1.982,0.347,-0.22,1.836,0.486,0.07,1.717,0.763,0.83,-0.289,52,0.292,0.365,26,0.643,1.468,1,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
@journalistnate,2023,100,1.494,0.549,0.30,3.885,0.319,-0.14,4.708,0.595,0.39,0.662,0.563,0.37,0.703,0.319,-0.22,0.822,0.619,0.42,445.506,0.611,0.22,485.006,0.271,-0.21,485.549,0.632,0.45,1.049,0.722,0.54,1.305,0.471,-0.09,1.487,0.526,0.11,1.782,0.847,0.77,2.056,0.086,-1.11,1.828,0.632,0.22,0.510,21,0.722,-0.470,54,0.243,0.262,18,0.553,,,,,,,,,,,,,,,,,,,,,,,,,,,
HoopSocial,2023,100,0.59,0.901,0.95,2.985,0.609,0.36,4.693,0.622,0.40,0.705,0.746,0.74,0.795,0.754,0.57,0.797,0.452,0.03,459.648,0.472,-0.08,464.888,0.6,0.34,488.75,0.553,0.35,1.201,0.208,-0.68,1.337,0.314,-0.48,1.603,0.132,-0.99,2,0.306,-0.31,2.004,0.143,-0.83,1.965,0.237,-0.53,-0.356,57,0.222,-0.322,53,0.257,-0.389,27,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,
MavsDraft,2023,100,0.915,0.761,0.72,2.521,0.71,0.62,4.796,0.541,0.36,0.697,0.718,0.67,0.758,0.493,0.25,0.82,0.595,0.39,471.546,0.306,-0.34,500.144,0.2,-0.62,470.568,0.868,0.93,1.275,0.125,-1.27,1.417,0.057,-1.43,1.477,0.605,0.21,1.749,0.903,0.93,1.903,0.314,-0.29,1.847,0.579,0.12,-0.227,48,0.347,-0.780,62,0.129,0.419,12,0.711,,,,,,,,,,,,,,,,,,,,,,,,,,,
@report_court,2023,100,3.644,0.085,-1.25,5.926,0.072,-1.28,9.496,0.054,-1.74,0.455,0.127,-1.37,0.443,0.029,-2.48,0.577,0,-3.39,502.885,0.139,-1.00,540.039,0.057,-1.70,538.898,0.132,-1.26,1.19,0.236,-0.59,1.373,0.2,-0.91,1.795,0,-2.82,1.907,0.5,0.15,1.655,0.914,1.04,1.584,0.947,1.55,-0.481,58,0.208,-0.522,56,0.214,-0.840,34,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,
@statssnyder,2023,100,0.423,0.972,1.07,1.76,0.971,1.04,3.341,0.865,1.00,0.631,0.479,0.11,0.775,0.623,0.40,0.811,0.548,0.25,413.55,0.778,0.90,464.141,0.629,0.36,520.227,0.263,-0.66,0.987,0.875,1.04,1.3,0.514,-0.03,1.605,0.105,-1.01,1.894,0.528,0.21,1.639,0.943,1.13,1.898,0.421,-0.16,0.719,15,0.806,0.486,22,0.700,-0.611,29,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,
@GlobalScouting_,2023,100,0.389,0.986,1.10,1.857,0.957,0.99,3.255,0.919,1.04,0.749,0.901,1.11,0.839,0.87,0.96,0.846,0.738,0.79,439.13,0.681,0.36,444.304,0.857,0.90,484.474,0.658,0.49,1.179,0.278,-0.50,1.308,0.443,-0.13,1.583,0.211,-0.80,1.872,0.569,0.32,1.722,0.786,0.68,1.587,0.921,1.54,0.059,39,0.472,0.485,23,0.686,0.408,13,0.684,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoops Prospects,2023,100,2.044,0.352,-0.10,3.307,0.464,0.18,5.307,0.459,0.13,0.319,0.014,-2.52,0.794,0.739,0.57,0.823,0.643,0.44,487.003,0.194,-0.67,473.489,0.471,0.11,518.143,0.289,-0.59,1.085,0.625,0.25,1.302,0.486,-0.06,1.516,0.421,-0.16,2.277,0.056,-1.67,1.875,0.371,-0.14,1.886,0.5,-0.10,-0.695,63,0.139,-0.029,40,0.443,-0.285,24,0.395,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBADraft.net,2023,99,1.925,0.38,-0.01,4.163,0.232,-0.29,5.965,0.405,-0.17,0.71,0.775,0.78,0.791,0.71,0.54,0.792,0.405,-0.05,495.93,0.167,-0.86,538.714,0.071,-1.67,548.129,0.053,-1.56,1.279,0.111,-1.31,1.382,0.171,-1.01,1.469,0.658,0.28,1.841,0.708,0.48,2.195,0.043,-1.86,2.126,0.053,-1.41,-0.562,60,0.181,-1.513,67,0.057,-0.894,36,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,
@BrianJNBA,2023,98,2.629,0.225,-0.52,3.945,0.29,-0.17,5.18,0.514,0.18,0.512,0.169,-0.89,0.61,0.116,-1.03,0.725,0.071,-1.09,493.054,0.181,-0.79,498.243,0.229,-0.57,496.679,0.5,0.10,1.207,0.194,-0.73,1.308,0.443,-0.13,1.491,0.5,0.07,1.788,0.819,0.74,1.762,0.643,0.47,2.062,0.132,-1.06,-0.261,51,0.306,-0.075,44,0.386,-0.296,26,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBS Sports,2023,90,0.742,0.817,0.84,2.302,0.841,0.74,3.78,0.757,0.81,0.684,0.676,0.56,0.809,0.826,0.70,0.816,0.571,0.33,426.445,0.736,0.63,472.962,0.486,0.12,482.095,0.684,0.56,1.15,0.347,-0.27,1.252,0.686,0.54,1.386,0.868,1.07,2.031,0.222,-0.46,1.965,0.2,-0.62,1.695,0.789,0.95,-0.035,42,0.431,0.014,39,0.457,0.861,6,0.868,,,,,,,,,,,,,,,,,,,,,,,,,,,
@bjpf_,2023,89,1.354,0.606,0.40,3.75,0.362,-0.06,6.813,0.216,-0.55,0.697,0.718,0.67,0.78,0.652,0.44,0.75,0.238,-0.70,448.828,0.556,0.15,460.21,0.671,0.47,514.962,0.316,-0.49,1.06,0.681,0.45,1.182,0.9,1.38,1.585,0.184,-0.82,1.869,0.597,0.34,1.794,0.6,0.30,1.891,0.474,-0.12,0.314,29,0.611,0.715,13,0.829,-0.478,28,0.289,,,,,,,,,,,,,,,,,,,,,,,,,,,
@kalidrafts,2023,88,1.697,0.451,0.15,3.797,0.348,-0.09,6.184,0.351,-0.26,0.688,0.69,0.59,0.805,0.797,0.66,0.741,0.19,-0.84,542.426,0.028,-1.85,514.003,0.129,-1.00,531.403,0.184,-1.02,1.279,0.111,-1.31,1.386,0.143,-1.06,1.551,0.316,-0.50,2.041,0.167,-0.51,2.013,0.129,-0.88,1.951,0.316,-0.45,-1.221,66,0.097,-0.979,64,0.100,-0.656,31,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,
@codyreeves14,2023,85,1.087,0.718,0.59,1.989,0.913,0.92,2.71,1,1.29,0.776,0.93,1.33,0.853,0.913,1.08,0.835,0.69,0.62,441.644,0.667,0.30,446.37,0.814,0.84,476.046,0.737,0.76,0.991,0.861,1.01,1.197,0.857,1.20,1.399,0.842,0.95,1.698,0.944,1.18,1.555,0.986,1.58,1.804,0.711,0.35,0.831,10,0.875,1.209,3,0.971,0.686,9,0.789,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Neff (Swish Theory),2023,80,3.274,0.141,-0.98,4.493,0.203,-0.48,7.086,0.162,-0.67,0.253,0,-3.07,0.635,0.13,-0.82,0.799,0.476,0.06,537.756,0.069,-1.75,491.501,0.257,-0.38,472.048,0.816,0.89,1.17,0.292,-0.43,1.221,0.786,0.91,1.399,0.842,0.95,1.865,0.611,0.36,1.913,0.286,-0.34,1.582,0.974,1.57,-0.606,62,0.153,0.063,34,0.529,1.133,2,0.974,,,,,,,,,,,,,,,,,,,,,,,,,,,
@jaynay1,2023,75,3.935,0.056,-1.46,7.189,0.029,-1.98,11.891,0.027,-2.81,0.569,0.296,-0.41,0.687,0.29,-0.36,0.648,0.024,-2.29,540.821,0.056,-1.81,544.625,0.029,-1.83,526.358,0.211,-0.86,1.398,0.014,-2.26,1.48,0.014,-2.19,1.698,0.026,-1.89,1.931,0.431,0.03,1.994,0.157,-0.78,1.857,0.526,0.06,-1.348,69,0.056,-1.598,68,0.043,-0.896,37,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,
@LoganA_NBA,2023,72,2.137,0.31,-0.16,2.73,0.667,0.50,3.324,0.892,1.01,0.503,0.155,-0.97,0.606,0.101,-1.07,0.738,0.167,-0.89,460.014,0.431,-0.09,467.172,0.586,0.28,477.579,0.711,0.71,1.103,0.5,0.11,1.392,0.1,-1.13,1.423,0.763,0.72,1.791,0.806,0.72,1.613,0.957,1.27,1.913,0.395,-0.24,0.247,32,0.569,0.138,33,0.543,0.395,14,0.658,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tankathon,2023,71,0.504,0.958,1.01,1.872,0.942,0.98,2.851,0.973,1.22,0.793,0.972,1.48,0.89,0.986,1.40,0.872,0.905,1.20,399.018,0.861,1.21,456.578,0.686,0.57,452.286,0.974,1.52,0.995,0.819,0.98,1.346,0.3,-0.58,1.246,1,2.40,2.026,0.25,-0.44,1.914,0.271,-0.35,1.977,0.211,-0.59,0.584,18,0.764,-0.121,47,0.343,1.110,3,0.947,,,,,,,,,,,,,,,,,,,,,,,,,,,
@bcb_75,2023,70,2.357,0.239,-0.32,3.6,0.406,0.02,5.278,0.486,0.14,0.67,0.62,0.44,0.853,0.913,1.08,0.853,0.786,0.90,478.135,0.236,-0.48,463.406,0.643,0.38,508.416,0.342,-0.28,1.122,0.486,-0.04,1.217,0.814,0.96,1.514,0.447,-0.15,1.949,0.403,-0.06,1.86,0.4,-0.06,1.631,0.895,1.30,-0.192,47,0.361,0.428,24,0.671,0.290,17,0.579,,,,,,,,,,,,,,,,,,,,,,,,,,,
@halfawaketakes,2023,70,3.334,0.113,-1.03,6.037,0.058,-1.34,7.63,0.108,-0.91,0.446,0.085,-1.45,0.728,0.362,-0.01,0.731,0.143,-1.00,508.905,0.125,-1.13,506.385,0.143,-0.79,534.3,0.158,-1.11,1.31,0.069,-1.56,1.359,0.257,-0.74,1.586,0.158,-0.83,2.053,0.153,-0.57,1.834,0.5,0.08,1.957,0.289,-0.48,-1.086,65,0.111,-0.481,55,0.229,-0.809,33,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Spins (The Box and One),2023,65,0.901,0.775,0.73,3.256,0.478,0.21,4.761,0.568,0.37,0.626,0.423,0.07,0.757,0.478,0.24,0.859,0.833,1.00,398.158,0.875,1.23,475.032,0.457,0.06,485.881,0.605,0.44,1.122,0.486,-0.04,1.389,0.114,-1.10,1.485,0.553,0.13,1.827,0.75,0.55,1.836,0.486,0.07,1.677,0.868,1.05,0.577,19,0.750,-0.321,52,0.271,0.540,10,0.763,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin O'Connor (The Ringer),2023,63,1.063,0.732,0.61,2.83,0.623,0.45,3.88,0.703,0.76,0.807,1,1.59,0.85,0.899,1.05,0.874,0.929,1.23,473.321,0.292,-0.37,478.019,0.371,-0.02,457.604,0.947,1.35,1.274,0.139,-1.27,1.301,0.5,-0.04,1.373,0.921,1.19,1.904,0.514,0.17,1.944,0.229,-0.51,1.915,0.368,-0.25,-0.491,59,0.194,-0.190,50,0.300,0.764,8,0.816,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Okachukwudi,2023,63,0.687,0.859,0.88,1.693,0.986,1.08,4.608,0.649,0.44,0.727,0.845,0.92,0.784,0.667,0.48,0.775,0.333,-0.31,379.327,0.972,1.63,433.195,0.971,1.20,472.472,0.789,0.87,0.894,0.986,1.79,1.216,0.829,0.97,1.479,0.579,0.19,1.994,0.319,-0.28,1.801,0.586,0.26,1.462,1,2.22,1.047,2,0.986,0.812,10,0.871,1.094,4,0.921,,,,,,,,,,,,,,,,,,,,,,,,,,,
@DraftDummies,2023,61,2.281,0.268,-0.27,3.208,0.522,0.24,6.697,0.297,-0.49,0.433,0.056,-1.56,0.76,0.522,0.27,0.855,0.81,0.93,423.58,0.75,0.69,438.347,0.9,1.06,503.076,0.421,-0.11,0.994,0.833,0.99,1.212,0.843,1.02,1.418,0.789,0.77,2.06,0.139,-0.60,1.902,0.329,-0.28,1.827,0.658,0.23,0.356,25,0.667,0.600,17,0.771,0.295,16,0.605,,,,,,,,,,,,,,,,,,,,,,,,,,,
