Name,Draft Year,Class,Role,Position,Pre-NBA,League,Team Color,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Physical Score,bSPARQ Per.,Combine Score,Athleticism,Freak Athlete,Athletic Tier,PTS,REB,AST,TOV,AST/TOV,STL,BLK,Defensive Stats,STL%,BLK%,Def %,3P%,3PM/G,3PM x 3P%,Shooter,FT%,FT Rating,SOS,PER,PER/Age,S_PER,WS/40,[WS/40]/Age,BPM,BPM/Age,S_BPM,AST%,TOV%,AST%/TOV%,TS%,eFG%,USG%,PTS/USG%,AST/USG%,AST%/USG%,TOV%/USG%,NCAAM,International,Euro,NBL,Other,G League,OE,Y1 Rotation,Top 3 Pick,Lottery Pick,G Played Issue,Pred. Y1 Rank,Pred. Y2 Rank,Pred. Y3 Rank,Avg. Rank Y1-Y3,Pred. Y4 Rank,Pred. Y5 Rank,Avg. Rank Y1-Y5,Pred. Y1 EPM,Pred. Y2 EPM,Pred. Y3 EPM,Avg. EPM Y1-Y3,Pred. Y4 EPM,Pred. Y5 EPM,Avg. EPM Y1-Y5,EPM_Y1,EPM_Y2,EPM_Y3,EPM_Y4,EPM_Y5,Actual Pick,Team,
Zaccharie Risacher,2024,International,Wing,3,JL Bourg-en-Bresse,French LNB Pro A,#CB2B1D,19.2,81,"6'9""",82.5,"6'10.5""",1.5,204,0.544,0.04,0.5,0.316,0,0.50,10.7,3.6,0.9,1.5,0.60,0.9,0.4,1.3,,,,0.385,1.38,0.5313,0.75,0.712,0.5,10.22,14.7,0.77,-0.002,,,,,,7.28,14.23,0.51,0.58,0.546,22.26,0.48,0.040,0.327,0.639,0,1,1,0,0,0,0,1,1,1,,17,41,30,29.3,41,25,30.8,-1.53,-1.55,-0.36,-1.15,-0.95,0.80,-0.72,,,,,,1,ATL,Risacher
Alexandre Sarr,2024,International,Big,4.5,Perth,NBL,#ED1D24,19.15,85,"7'1""",88.25,"7'4.25""",3.25,205,0.586,0.549,0.93,0.778,0,0.75,9.6,4.5,1,1,1.00,0.4,1.5,1.9,,,,0.276,0.53,0.14628,0.25,0.707,0.5,11.06,20.96,1.09,0.329,,,,,,9.45,11.03,0.86,0.576,0.537,21.9,0.44,0.046,0.432,0.504,0,1,0,1,0,0,0,1,1,1,,7,18,1,8.7,4,1,6.2,-1.01,-0.65,1.94,0.09,2.34,3.12,1.15,,,,,,2,WAS,Sarr
Reed Sheppard,2024,Freshman,Guard,1.5,Kentucky,SEC,#0033A0,19.99,75,"6'3""",75.25,"6'3.25""",0.25,187,0.327,0.751,0.831,0.799,0,0.75,12.5,4.1,4.5,2,2.25,2.5,0.7,3.2,,,,0.521,2.3,1.1983,1,0.831,0.75,7.46,23.6,1.18,0.381,0.188,0.009,11.4,0.57,-0.229,24.1,18.3,1.32,0.699,0.679,18,0.69,0.250,1.339,1.017,1,0,0,0,0,0,0,1,1,1,,1,2,9,4.0,1,3,3.2,1.39,0.90,1.07,1.12,3.57,2.17,1.82,,,,,,3,HOU,Sheppard
Stephon Castle,2024,Freshman,Guard,2,UConn,Big East,#000E2F,19.63,78.75,"6'6.75""",81,"6'9""",2.25,210,0.692,0.409,0.787,0.636,0,0.75,11.1,4.7,2.9,1.5,1.93,0.8,0.5,1.3,,,,0.267,0.6,0.1602,0.25,0.755,0.5,8.7,19,0.97,0.183,0.186,0.009,6.5,0.33,-0.454,18.4,13,1.42,0.551,0.507,22,0.50,0.132,0.836,0.591,1,0,0,0,0,0,0,1,0,1,,59,27,44,43.3,49,40,43.8,-3.61,-1.10,-1.12,-1.94,-1.56,0.12,-1.45,,,,,,4,SA,Castle
Ron Holland,2024,G League,Wing,3,G League Ignite,G League,#8C2A93,18.95,79.75,"6'7.75""",82.75,"6'10.75""",3,197,0.421,0.359,0.863,0.661,0,0.75,19.5,6.7,2.9,3.2,0.91,2.3,0.9,3.2,,,,0.24,0.7,0.168,0.25,0.728,0.5,13.43,16.6,0.88,0.118,-0.047,-0.002,,,,16.7,17.4,0.96,0.551,0.498,29.3,0.67,0.099,0.570,0.594,0,0,0,0,1,1,0,1,0,1,,30,50,,40.0,,,40.0,-1.96,-1.76,,-1.86,,,-1.86,,,,,,5,DET,Holland
Tidjane Salaun,2024,International,Wing,3.5,Cholet Basket,French LNB Pro A,#79160D,18.86,81,"6'9""",85.5,"7'1.5""",4.5,203,0.418,0.75,0.75,0.750,0,0.75,9.7,3.9,0.9,1.3,0.69,1.1,0.2,1.3,,,,0.316,1.4,0.4424,0.5,0.748,0.5,10.22,13.1,0.69,-0.060,,,,,,6.8,12.2,0.56,0.528,0.49,21.3,0.46,0.042,0.319,0.573,0,1,1,0,0,0,0,1,0,1,,15,29,35,26.3,24,22,25.0,-1.39,-1.14,-0.73,-1.09,0.40,0.93,-0.39,,,,,,6,CHA,Salaun
Donovan Clingan,2024,Sophomore,Big,5,UConn,Big East,#000E2F,20.32,87,"7'3""",90.75,"7'6.75""",3.75,282,0.961,0.742,0.506,0.600,0,0.50,13.0,7.4,1.5,0.8,1.88,0.5,2.5,3,,,,0.25,0.1,0.025,0.1,0.583,0,8.7,34.8,1.71,0.900,0.302,0.015,15,0.74,-0.075,13.5,7.3,1.85,0.637,0.643,25.1,0.52,0.060,0.538,0.291,1,0,0,0,0,0,0,1,0,1,,3,3,6,4.0,3,5,4.0,-0.42,0.61,1.18,0.46,2.58,2.14,1.22,,,,,,7,POR,Clingan
Rob Dillingham,2024,Freshman,Guard,1,Kentucky,SEC,#0033A0,19.46,74.25,"6'2.25""",75,"6'3""",0.75,164,0.229,0.5,0.5,0.500,0,0.50,15.2,2.9,3.9,2,1.95,1,0.1,1.1,,,,0.444,2,0.888,1,0.796,0.75,7.46,23.5,1.21,0.429,0.174,0.009,6.2,0.32,-0.460,29.7,13.5,2.20,0.595,0.564,30.3,0.50,0.129,0.980,0.446,1,0,0,0,0,0,0,1,0,1,,23,7,34,21.3,17,27,21.6,-1.88,-0.28,-0.67,-0.94,0.91,0.69,-0.24,,,,,,8,MIN,Dillingham
Zach Edey,2024,Senior,Big,5,Purdue,Big 10,#CEB888,22.1,89,"7'5""",94.75,"7'10.75""",5.75,299,0.983,0.923,0.903,0.911,0,0.50,25.2,12.2,2,2.3,0.87,0.3,2.2,2.5,,,,0.5,0.02,0.01,0,0.711,0.5,11.6,39.3,1.78,0.894,0.336,0.015,16.8,0.76,-0.124,14.6,10.8,1.35,0.659,0.624,33.4,0.75,0.060,0.437,0.323,1,0,0,0,0,0,0,1,0,1,,8,10,3,7.0,18,16,11.0,-1.09,-0.32,1.58,0.05,0.88,1.15,0.44,,,,,,9,MEM,Edey
Cody Williams,2024,Freshman,Wing,3,Colorado,PAC 12,#CFB87C,19.58,79.75,"6'7.75""",85,"7'1""",5.25,178,0.439,0.188,0.823,0.569,0,0.50,11.9,3,1.6,2,0.80,0.6,0.7,1.3,,,,0.415,0.7,0.2905,0.5,0.714,0.5,8.36,15.7,0.80,0.019,0.118,0.006,3.9,0.20,-0.584,10.2,17.2,0.59,0.62,0.595,20.8,0.57,0.077,0.490,0.827,1,0,0,0,0,0,0,1,0,1,,29,17,25,23.7,54,72,39.4,-1.96,-0.62,-0.11,-0.90,-1.76,-1.86,-1.26,,,,,,10,UTA,Williams
Matas Buzelis,2024,G League,Wing,3.5,G League Ignite,G League,#8C2A93,19.68,82,"6'10""",82,"6'10""",0,197,0.534,0.461,0.973,0.768,0,0.75,14.1,6.6,1.9,2.2,0.86,0.9,1.9,2.8,,,,0.261,0.7,0.1827,0.25,0.696,0.25,13.43,13.63,0.69,-0.095,-0.005,0.000,,,,11.1,15,0.74,0.553,0.492,21.45,0.66,0.089,0.517,0.699,0,0,0,0,1,1,0,1,0,1,,14,20,,17.0,,,17.0,-1.25,-0.90,,-1.08,,,-1.08,,,,,,11,CHI,Buzelis
Nikola Topić,2024,International,Guard,1.5,KK Crvena Zvezda,Adriatic ABA,#D13431,18.86,78,"6'6""",77.5,"6'5.5""",-0.5,200,0.734,0.5,0.5,0.500,0,0.50,14.5,3.2,5.5,2.3,2.39,1,0.1,1.1,,,,0.306,1.1,0.3366,0.25,0.878,1,12.32,19.88,1.05,0.300,,,,,,34.4,16.1,2.14,0.604,0.551,23.9,0.61,0.230,1.439,0.674,0,1,1,0,0,0,0,0,0,1,,11,1,4,5.3,5,2,4.6,-1.20,1.16,1.50,0.49,2.05,2.89,1.28,,,,,,12,OKC,Topic
Devin Carter,2024,Junior,Guard,1.5,Providence,Big East,#000000,22.26,75.5,"6'3.5""",80.75,"6'8.75""",5.25,193,0.668,0.78,0.939,0.875,0,0.75,19.7,8.7,3.6,2.7,1.33,1.8,1,2.8,,,,0.377,2.5,0.9425,0.75,0.749,0.5,7.95,25.6,1.15,0.260,0.206,0.009,12.3,0.55,-0.338,23.3,14.1,1.65,0.597,0.564,28.1,0.70,0.128,0.829,0.502,1,0,0,0,0,0,0,1,0,1,,2,5,20,9.0,9,12,9.6,0.03,0.18,0.25,0.15,1.49,1.40,0.67,,,,,,13,SAC,Carter
Carlton Carrington,2024,Freshman,Guard,1.5,Pittsburgh,ACC,#003594,18.92,76,"6'4""",80,"6'8""",4,190,0.654,0.552,0.69,0.635,0,0.50,13.8,5.2,4.1,1.9,2.16,0.6,0.2,0.8,,,,0.322,2,0.644,0.5,0.785,0.5,6.92,16.3,0.86,0.105,0.133,0.007,3.9,0.21,-0.551,24,13,1.85,0.53,0.496,23,0.60,0.178,1.043,0.565,1,0,0,0,0,0,0,1,0,1,,68,46,62,58.7,47,50,54.6,-4.43,-1.68,-2.60,-2.90,-1.47,-0.32,-2.10,,,,,,14,WAS,Carrington
Kel'el Ware,2024,Sophomore,Big,4.5,Indiana,Big 10,#990000,20.17,85,"7'1""",88.5,"7'4.5""",3.5,230,0.682,0.832,1.00,0.933,1,1.00,15.9,9.9,1.5,1.6,0.94,0.6,1.9,2.5,,,,0.425,0.6,0.255,0.25,0.634,0.25,9.74,25,1.24,0.433,0.175,0.009,8.5,0.42,-0.385,9.9,10.9,0.91,0.621,0.612,22.9,0.69,0.066,0.432,0.476,1,0,0,0,0,0,0,1,0,0,,26,9,7,14.0,10,7,11.8,-1.93,-0.31,1.09,-0.39,1.25,1.72,0.36,,,,,,15,MIA,Ware
Jared McCain,2024,Freshman,Guard,1.5,Duke,ACC,#003087,20.33,75.25,"6'3.25""",75.5,"6'3.5""",0.25,203,0.539,0.25,0.25,0.250,0,0.25,14.3,5,1.9,1.3,1.46,1.1,0.1,1.2,,,,0.414,2.4,0.9936,1,0.885,1,8.36,19.4,0.95,0.141,0.182,0.009,8.5,0.42,-0.395,11,10.1,1.09,0.611,0.577,21.1,0.68,0.090,0.521,0.479,1,0,0,0,0,0,0,1,0,0,,6,4,11,7.0,11,10,8.4,-0.60,0.27,0.92,0.20,1.14,1.41,0.63,,,,,,16,PHI,McCain
Dalton Knecht,2024,Senior,Wing,3,Tennessee,SEC,#FF8200,23.17,78.5,"6'6.5""",81,"6'9""",2.5,212,0.329,0.712,0.925,0.840,0,0.75,21.7,4.9,1.8,1.7,1.06,0.7,0.6,1.3,,,,0.397,2.6,1.0322,1,0.772,0.5,10.42,24.4,1.05,0.126,0.207,0.009,11.3,0.49,-0.439,13.4,8.3,1.61,0.578,0.538,32.7,0.66,0.055,0.410,0.254,1,0,0,0,0,0,0,1,0,0,,10,38,52,33.3,39,33,34.4,-1.15,-1.46,-1.64,-1.42,-0.81,0.53,-0.91,,,,,,17,LAL,Knecht
Tristan da Silva,2024,Senior,Wing,3,Colorado,PAC 12,#CFB87C,23.1,80.25,"6'8.25""",82.25,"6'10.25""",2,217,0.536,0.231,0.76,0.548,0,0.50,16,5.1,2.4,1.8,1.33,1.1,0.6,1.7,,,,0.395,1.9,0.7505,0.75,0.835,0.75,8.36,19.8,0.86,-0.067,0.164,0.007,7.1,0.31,-0.617,13.4,12,1.12,0.606,0.573,22.5,0.71,0.107,0.596,0.533,1,0,0,0,0,0,0,1,0,0,,57,47,64,56.0,67,55,58.0,-3.48,-1.71,-2.96,-2.72,-2.81,-0.42,-2.28,,,,,,18,ORL,Da Silva
Ja'Kobe Walter,2024,Freshman,Guard,2,Baylor,Big 12,#154734,19.79,77.5,"6'5.5""",82,"6'10""",4.5,198,0.594,0.422,0.909,0.714,0,0.75,14.5,4.4,1.4,1.3,1.08,1.1,0.2,1.3,,,,0.341,2.1,0.7161,0.5,0.792,0.5,10.71,17.1,0.86,0.072,0.149,0.008,5.8,0.29,-0.499,8.1,9.1,0.89,0.541,0.474,23.4,0.62,0.060,0.346,0.389,1,0,0,0,0,0,0,1,0,0,,64,48,56,56.0,61,42,54.2,-3.84,-1.73,-2.10,-2.55,-2.19,0.10,-1.95,,,,,,19,TOR,Walter
Jaylon Tyson,2024,Junior,Wing,2.5,Cal,PAC 12,#003262,21.55,78.75,"6'6.75""",80,"6'8""",1.25,218,0.319,0.646,0.608,0.623,0,0.50,19.6,6.8,3.5,3.1,1.13,1.2,0.5,1.7,,,,0.36,1.6,0.576,0.75,0.796,0.5,8,22.2,1.03,0.168,0.133,0.006,6.8,0.32,-0.546,23.6,15,1.57,0.557,0.518,30.1,0.65,0.116,0.784,0.498,1,0,0,0,0,0,0,1,0,0,,18,51,38,35.7,48,24,35.8,-1.60,-1.86,-0.79,-1.42,-1.52,0.82,-0.99,,,,,,20,CLE,Tyson
Yves Missi,2024,Freshman,Big,5,Baylor,Big 12,#154734,20.1,84,"7'0""",86,"7'2""",2,229,0.456,0.687,0.937,0.837,0,0.75,10.7,5.6,0.4,1.1,0.36,0.6,1.5,2.1,,,,0,0,0,0,0.616,0.25,10.71,24.7,1.23,0.425,0.191,0.010,7.4,0.37,-0.436,3.4,11.7,0.29,0.622,0.614,21.8,0.49,0.018,0.156,0.537,1,0,0,0,0,0,0,1,0,0,,27,56,16,33.0,33,13,29.0,-1.95,-2.06,0.67,-1.11,-0.38,1.36,-0.47,,,,,,21,NO,Missi
DaRon Holmes II,2024,Junior,Big,4.5,Dayton,A-10,#CE1141,21.85,82,"6'10""",85,"7'1""",3,236,0.280,0.382,0.703,0.575,0,0.50,20.4,8.5,2.6,2.2,1.18,0.9,2.1,3,,,,0.386,1,0.386,0.5,0.713,0.5,5.73,31.7,1.45,0.577,0.26,0.012,12.3,0.56,-0.311,18.9,12.1,1.56,0.627,0.584,31.5,0.65,0.083,0.600,0.384,1,0,0,0,0,0,0,1,0,0,,31,6,17,18.0,23,9,17.2,-1.97,-0.07,0.61,-0.47,0.56,1.45,0.12,,,,,,22,DEN,Holmes II
AJ Johnson,2024,International,Guard,2,Illawarra,NBL,#000000,19.55,77.5,"6'5.5""",80.5,"6'8.5""",3,167,0.418,0.037,0.738,0.458,0,0.50,2.9,1.2,0.8,0.7,1.14,0.2,0.1,0.3,,,,0.278,0.3,0.0834,0.25,0.538,0,11.06,7.1,0.36,-0.419,,,,,,13.9,16.8,0.83,0.42,0.409,21.2,0.14,0.038,0.656,0.792,0,1,0,1,0,0,0,0,0,0,,40,72,69,60.3,7,8,39.2,-2.71,-3.51,-3.27,-3.16,1.55,1.53,-1.28,,,,,,23,MIL,AJ Johnson
Kyshawn George,2024,Freshman,Wing,2.5,Miami,ACC,#F47321,20.52,80.25,"6'8.25""",82.25,"6'10.25""",2,209,0.536,0.242,0.231,0.235,0,0.25,7.6,3,2.2,1.5,1.47,0.9,0.4,1.3,,,,0.408,1.7,0.6936,0.75,0.778,0.5,7.46,13.7,0.67,-0.153,0.097,0.005,3.6,0.18,-0.645,16.3,19.1,0.85,0.582,0.566,17.6,0.43,0.125,0.926,1.085,1,0,0,0,0,0,0,1,0,0,,22,11,21,18.0,51,60,33.0,-1.84,-0.32,0.22,-0.65,-1.59,-0.54,-0.81,,,,,,24,WAS,George
Pacome Dadiet,2024,International,Wing,3,Ratiopharm Ulm,German BBL,#D74F37,18.9,80,"6'8""",81,"6'9""",1,210,0.428,0.5,0.5,0.500,0,0.50,6.6,2.3,0.6,0.8,0.75,0.5,0.1,0.6,,,,0.358,0.8,0.2864,0.5,0.744,0.5,9.51,14.3,0.76,0.001,,,,,,6.2,13.5,0.46,0.619,0.59,18.5,0.36,0.032,0.335,0.730,0,1,1,0,0,0,0,1,0,0,,67,75,27,56.3,16,23,41.6,-4.08,-4.82,-0.17,-3.03,0.93,0.83,-1.46,,,,,,25,NY,Dadiet
Dillon Jones,2024,Senior,Wing,3,Weber State,Big Sky,#4B2682,22.64,77.75,"6'5.75""",83,"6'11""",5.25,237,0.412,0.57,0.375,0.453,0,0.50,20.8,9.8,5.2,3,1.73,2,0.1,2.1,,,,0.324,1.1,0.3564,0.5,0.857,1,-4.15,27.9,1.23,0.327,0.23,0.010,7.7,0.34,-0.565,30.3,14.8,2.05,0.597,0.527,29.5,0.71,0.176,1.027,0.502,1,0,0,0,0,0,0,1,0,0,,46,42,24,37.3,58,43,42.6,-3.10,-1.60,0.03,-1.56,-2.01,0.07,-1.32,,,,,,26,OKC,Jones
Terrence Shannon Jr.,2024,Senior,Wing,2.5,Illinois,Big 10,#E84A27,23.89,79,"6'7""",80.75,"6'8.75""",1.75,219,0.310,0.75,0.75,0.750,0,0.75,23,4,2.3,2,1.15,1,0.9,1.9,,,,0.362,2.4,0.8688,0.75,0.801,0.75,9.54,26.9,1.13,0.170,0.235,0.010,11.5,0.48,-0.474,12.9,9.8,1.32,0.622,0.559,29.2,0.79,0.079,0.442,0.336,1,0,0,0,0,0,0,1,0,0,,13,33,40,28.7,40,20,29.2,-1.23,-1.26,-0.88,-1.12,-0.91,1.07,-0.64,,,,,,27,MIN,Shannon
