,Board,Board Size,Names Entered,Completed?,Issues*,Total Boards:,164,Total Ranks:,9334,Left to enter:,406,Prospects Per Board:,59.4
1,Sam Vecenie (The Athletic),100,100,Yes,,,,,,,,,
2,CBS Sports,100,100,Yes,,,,,,,,,
3,@KevinOConnorNBA (Yahoo),59,59,Yes,,,,,,,,,
4,The Ringer,45,45,Yes,1 withdrawl,,,,,,,,
5,Tankathon,74,74,Yes,,,,,,,,,
6,NBADraft.net,100,100,Yes,,,,,,,,,
7,CraftedNBA,72,72,Yes,3 withdrawls,,,,,,,,
8,@KlineNBA (Fansided),100,100,Yes,,,,,,,,,
9,Swish Theory,59,59,Yes,two #52,,,,,,,,
10,No Ceilings,60,60,Yes,fix link on site,,,,,,,,
11,ESPN,100,100,Yes,,,,,,,,,
12,Kevin Pelton (ESPN),32,31,Partial,missing #31,,,,,,,,
13,Opta,31,31,Yes,,,,,,,,,
14,the center hub,75,75,Yes,,,,,,,,,
15,@supersayansavin (TPM),96,96,Yes,,,,,,,,,
16,@CRiehl30,77,77,Yes,,,,,,,,,
17,@JoelHinkieMaxey,44,44,Yes,,,,,,,,,
18,@draymottishaw,60,60,Yes,,,,,,,,,
19,@ZP12Hoops,150,150,Yes,,,,,,,,,
20,@kimonsjaer24,60,60,Yes,,,,,,,,,
21,@Jackmatthewss_,25,25,Yes,published new board - had to update,,,,,,,,
22,@rowankent,85,85,Yes,,,,,,,,,
23,@CannibalSerb,59,59,Yes,lots of withdrawls,,,,,,,,
24,Jishnu,41,41,Yes,,,,,,,,,
25,@fra_sempru,60,60,Yes,,,,,,,,,
26,@FPL_Mou,104,104,Yes,lots of withdrawls,,,,,,,,
27,RyanHammer09,62,62,Yes,published new board - had to update,,,,,,,,
28,@thezonemaster,35,35,Yes,,,,,,,,,
29,@hutsonboggs,65,65,Yes,,,,,,,,,
30,@PAKA_FLOCKA,75,75,Yes,,,,,,,,,
31,@drew_cant_hoop,34,34,Yes,,,,,,,,,
32,@PenguinHoops,41,41,Yes,,,,,,,,,
33,PK,36,36,Yes,,,,,,,,,
34,@nore4dh,62,62,Yes,,,,,,,,,
35,@LeftFieldSoup,60,60,Yes,,,,,,,,,
36,@OranjeGuerrero,100,100,Yes,,,,,,,,,
37,@503sbest,30,30,Yes,,,,,,,,,
38,@BrianJNBA,98,98,Yes,2 withdrawls,,,,,,,,
39,@CediBetter,100,100,Yes,,,,,,,,,
40,@JEnnisNBADraft,97,97,Yes,3 withdrawls,,,,,,,,
41,@report_court,101,101,Yes,*forgot Riley @ 55,,,,,,,,
42,@esotericloserr,30,30,Yes,,,,,,,,,
43,@atthelevel,26,26,Yes,,,,,,,,,
44,@freewave3,30,30,Yes,,,,,,,,,
45,Andrea Cannici,28,28,Yes,,,,,,,,,
46,@LoganH_utk,87,87,Yes,1 withdrawl,,,,,,,,
47,JoshW,60,60,Yes,,,,,,,,,
48,@double_pg,60,60,Yes,,,,,,,,,
49,@TaouTi959,33,33,Yes,,,,,,,,,
50,@Alley_Oop_Coop,65,65,Yes,,,,,,,,,
51,@perspectivehoop,30,30,Yes,,,,,,,,,
52,@chipwilliamsjr,76,76,Yes,,,,,,,,,
53,@DraftCasual,21,21,Yes,,,,,,,,,
54,@NPComplete34,59,59,Yes,published new board - had to update,,,,,,,,
