Board,Draft Year,Board Size,Consensus Lottery,Consensus-L %ile,Consensus-L z-score,Consensus Top 30,Consensus-T30 %ile,Consensus-T30 z-score,Consensus Top 60,Consensus-T60 %ile,Consensus-T60 z-score,NBA Draft Lottery,NBA-L %ile,NBA-L z-score,NBA Draft Top 30,NBA-T30 %ile,NBA-T30 z-score,NBA Draft Top 60,NBA-T60 %ile,NBA-T60 z-score,Redraft Lottery,Redraft Top 30,Redraft Top 60,EPM Lottery,EPM Top 30,EPM Top 60,EW Lottery,EW Top 30,EW Top 60,R-L %ile,R-L z-score,R-T30 %ile,R-T30 z-score,R-T60 %ile,R-T60 z-score,EPM-L %ile,EPM-L z-score,EPM-T30 %ile,EPM-T30 z-score,EPM-T60 %ile,EPM-T60 z-score,EW-L %ile,EW-L z-score,EW-T30 %ile,EW-T30 z-score,EW-T60 %ile,EW-T60 z-score,avg L z-score,Lottery Rank,Lottery %ile,avg T30 z-score,Top 30 Rank,Top 30 %ile,avg T60 z-score,Top 60 Rank,Top 60 %ile,DARKO Lottery,DARKO Top 30,DARKO Top 60,LEBRON Lottery,LEBRON Top 30,LEBRON Top 60,WAR Lottery,WAR Top 30,WAR Top 60,DARKO-L %ile,DARKO-L z-score,DARKO-T30 %ile,DARKO-T30 z-score,DARKO-T60 %ile,DARKO-T60 z-score,LEBRON-L %ile,LEBRON-L z-score,LEBRON-T30 %ile,LEBRON-T30 z-score,LEBRON-T60 %ile,LEBRON-T60 z-score,WAR-L %ile,WAR-L z-score,WAR-T30 %ile,WAR-T30 z-score,WAR-T60 %ile,WAR-T60 z-score
Consensus,2025,291,0,,,0,,,0,,,0.956,0.988,1.50,0.747,0.694,0.64,0.893,0.824,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ZP12Hoops,2025,150,3.226,0.396,-0.03,6.96,0.224,-0.50,10.846,0.288,-0.33,0.613,0.256,-0.45,0.561,0.265,-0.60,0.759,0.188,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@OpticalHoops,2025,150,2.122,0.713,0.57,5.712,0.442,0.05,8.79,0.507,0.23,0.745,0.537,0.30,0.742,0.673,0.61,0.832,0.482,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@jessefischer,2025,150,6.412,0.043,-1.76,8.777,0.095,-1.29,14.711,0.11,-1.40,0.697,0.433,0.03,0.678,0.49,0.18,0.745,0.141,-0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@DKPhiSports,2025,115,1.66,0.854,0.82,5.95,0.429,-0.06,9.744,0.356,-0.03,0.578,0.22,-0.65,0.685,0.524,0.23,0.822,0.412,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@FPL_Mou,2025,104,8.291,0.018,-2.78,12.368,0.02,-2.86,16.845,0.041,-1.99,0.288,0.024,-2.29,0.602,0.34,-0.32,0.683,0.082,-1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@RichStayman,2025,102,2.527,0.591,0.35,5.037,0.599,0.34,8.63,0.521,0.28,0.793,0.683,0.57,0.752,0.707,0.67,0.876,0.753,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@report_court,2025,101,3.582,0.293,-0.22,9.366,0.088,-1.55,15.22,0.082,-1.54,0.512,0.134,-1.02,0.573,0.306,-0.52,0.636,0.059,-1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Vecenie (The Athletic),2025,100,2.528,0.585,0.35,4.367,0.755,0.64,8.519,0.548,0.31,0.846,0.835,0.87,0.764,0.776,0.75,0.88,0.776,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBS Sports,2025,100,2.019,0.756,0.62,5.053,0.585,0.34,8.326,0.603,0.36,0.811,0.732,0.68,0.849,0.959,1.32,0.903,0.906,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
