Name,Draft Year,Class,Role,Position,Pre-NBA,League,SOS,Team Color,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Physical Score,bSPARQ Per.,Combine Score,Ath. Score,Freak Athlete,Athletic Tier,PTS,REB,ORB%,DRB%,TRB%,AST,TOV,AST/TOV,AST%,TOV%,AST%/TOV%,STL,BLK,Stocks,STL%,BLK%,Stocks %,Team DRtg,DRtg,DRtg +/-,BPM,BPM/Age,FTr,FT%,FT Rating,3PAr,3P%,3PM/G,3PM x 3P%,3P Rating,Shooter,TS%,eFG%,PProd,Team ORtg,ORtg,ORtg +/-,USG%,PTS/USG%,AST/USG%,TOV/USG%,AST%/USG%,TOV%/USG%,NCAAM,International,Euro,NBL,Other,G League,OE,Top 3 Pick,Lottery Pick,G Played Issue,Size,Athleticism,Defense,Rebounding,Scoring,Passing,Shooting,Efficiency,Tier,Comp1,Similarity1,Comp2,Similarity2,Comp3,Similarity3,Comp4,Similarity4,Comp5,Similarity5,Pred. Y1 EPM,Pred. Y2 EPM,Pred. Y3 EPM,Avg. EPM Y1-Y3,Pred. Y4 EPM,Pred. Y5 EPM,Avg. EPM Y1-Y5,EPM_Y1,EPM_Y2,EPM_Y3,EPM_Y4,EPM_Y5,Actual Pick,NBA Team,NBA
Cooper Flagg,2025,Freshman,Wing,3.5,Duke,ACC,10.26,#003087,18.5,79.75,"6'7.75""",84,"7'0""",4.25,221,0.758,,0.894,0.894,0,0.75,19.2,7.5,5.5,21.2,14.1,4.2,2.1,2.00,26.8,11.5,2.33,1.4,1.4,2.8,2.8,4.9,7.7,94.3,89.5,4.8,16.3,0.88,0.429,0.84,0.75,0.272,0.385,1.4,0.539,0.75,0.75,0.593,0.533,712,125,126.3,1.3,30.9,0.62,0.14,0.068,0.87,0.372,1,0,0,0,0,0,0,1,1,,75.8,89.4,92.2,70.6,95.8,96.6,82.4,69.4,All-NBA Caliber,Jabari Smith Jr.,69.3,Otto Porter Jr.,67.3,Franz Wagner,66.3,Brandon Ingram,65.2,Jayson Tatum,64,0.194,1.179,2.347,1.240,2.610,2.951,1.856,,,,,,1,Dallas Mavericks,DAL
Dylan Harper,2025,Freshman,Guard,1.5,Rutgers,Big 10,10.94,#CC0033,19.3,76.5,"6'4.5""",82.5,"6'10.5""",6,213,0.948,,0.927,0.927,1,1.00,19.4,4.6,2.6,13.5,8,4,2.4,1.67,27.1,12.7,2.13,1.4,0.6,2,2.6,1.9,4.5,109.6,110.1,-0.5,9.2,0.48,0.419,0.75,0.5,0.374,0.333,1.7,0.5661,0.5,0.5,0.587,0.546,544,108.8,118.1,9.3,29,0.67,0.14,0.083,0.93,0.438,1,0,0,0,0,0,0,1,1,,94.8,92.7,76,59.2,92,60.7,34.2,74,Fringe All-Star,Jaden Ivey,79,Anthony Edwards,78.2,Cade Cunningham,77.7,Markelle Fultz,76.1,Gary Harris,74.9,-1.062,1.172,0.907,0.339,1.829,2.840,1.137,,,,,,,NBA Combine,
Ace Bailey,2025,Freshman,Wing,3.5,Rutgers,Big 10,10.94,#CC0033,18.85,79.75,"6'7.75""",84.5,"7'0.5""",4.75,203,0.666,,0.828,0.828,0,0.75,17.6,7.2,7,17.5,12.2,1.3,2,0.65,8.3,11,0.75,1,1.3,2.3,1.7,4.1,5.8,109.6,109.1,0.5,4.5,0.24,0.243,0.692,0.25,0.308,0.346,1.6,0.5536,0.5,0.4375,0.536,0.514,483,108.8,108.2,-0.6,27.5,0.64,0.05,0.073,0.30,0.400,1,0,0,0,0,0,0,1,1,,66.6,82.8,70.8,70.1,92.2,24,31.2,24.2,Quality Starter,Andrew Wiggins,84.8,Justin Lewis,81.1,Bilal Coulibaly,80.7,Robert Woodard II,80.2,Juancho Hernangomez,79.3,-1.955,-0.254,0.155,-0.685,0.627,1.470,0.009,,,,,,,NBA Combine,
VJ Edgecombe,2025,Freshman,Guard,2,Baylor,Big 12,13.86,#154734,19.89,76,"6'4""",79.5,"6'7.5""",3.5,193,0.797,,0.758,0.758,0,0.75,15,5.6,7.1,13.5,10.2,3.2,1.9,1.68,19.2,12.5,1.54,2.1,0.6,2.7,3.8,2.3,6.1,104.2,102.5,1.7,11.4,0.57,0.373,0.782,0.5,0.402,0.34,1.6,0.544,0.5,0.5,0.552,0.504,500,113.6,119.1,5.5,24.1,0.62,0.13,0.079,0.80,0.519,1,0,0,0,0,0,0,0,1,,79.7,75.8,95.4,95.8,67.9,44.7,34.2,37.8,Fringe All-Star,Donovan Mitchell,80.7,Jalen Suggs,79.6,Gary Harris,77.4,Nickeil Alexander-Walker,76.8,Marcus Smart,74,-0.818,1.039,0.873,0.365,1.726,2.839,1.132,,,,,,,NBA Combine,
Tre Johnson,2025,Freshman,Wing,2.5,Texas,SEC,9.79,#BF5700,19.29,76.75,"6'4.75""",82.25,"6'10.25""",5.5,190,0.188,,0.510,0.510,0,0.50,19.9,3.1,1.1,9,5.2,2.7,1.8,1.50,16.5,9.2,1.79,0.9,0.3,1.2,1.6,1,2.6,104.7,109.9,-5.2,7.7,0.40,0.265,0.871,1,0.427,0.397,2.7,1.0719,0.875,0.90625,0.557,0.511,601,113.1,115.1,2,29.1,0.68,0.09,0.062,0.57,0.316,1,0,0,0,0,0,0,0,1,,18.8,51,6,0.5,95.6,81.5,92.2,31.5,Solid Rotation,Nik Stauskas,81.5,Gradey Dick,79.9,Tim Hardaway Jr.,78.2,Svi Mykhailiuk,78.1,Bennedict Mathurin,77.8,-1.929,-0.322,-0.374,-0.875,0.489,1.383,-0.151,,,,,,,NBA Combine,
Jeremiah Fears,2025,Freshman,Guard,1,Oklahoma,SEC,11.22,#841617,18.7,74.5,"6'2.5""",77.25,"6'5.25""",2.75,180,0.512,,0.785,0.785,0,0.75,17.1,4.1,3.1,13,8.3,4.1,3.4,1.21,28.6,18.3,1.56,1.6,0.1,1.7,3.1,0.5,3.6,106.8,107.5,-0.7,5.9,0.32,0.518,0.851,1,0.323,0.284,1.1,0.3124,0.25,0.4375,0.562,0.48,604,112,108.2,-3.8,31.5,0.54,0.13,0.108,0.91,0.581,1,0,0,0,0,0,0,0,1,,51.2,78.5,63.4,65.6,66.4,51.5,23.5,32.4,Solid Rotation,De'Aaron Fox,80.6,Collin Sexton,80.1,Isaiah Collier,79.5,Jaden Springer,78.6,Dennis Smith Jr.,77.7,-2.324,-0.218,-0.094,-0.879,0.536,1.338,-0.153,,,,,,,NBA Combine,
Kon Knueppel,2025,Freshman,Wing,2.5,Duke,ACC,10.26,#003087,19.88,77,"6'5""",78.25,"6'6.25""",1.25,219,0.248,,,0.24,0,0.25,14.4,4,4.3,10.3,7.6,2.7,1.4,1.93,15.7,10.8,1.45,1,0.2,1.2,2,0.6,2.6,94.3,98.8,-4.5,10.8,0.54,0.339,0.914,1,0.548,0.406,2.2,0.8932,0.915,0.93625,0.642,0.59,538,125,133.7,8.7,21.4,0.67,0.13,0.065,0.73,0.505,1,0,0,0,0,0,0,0,1,,24.8,24,9.1,21.6,77.3,91.1,92.4,91.7,Solid Rotation,Gradey Dick,82.7,Nik Stauskas,79.8,Reggie Bullock Jr.,79.7,Ben McLemore,79.5,Luke Kennard,78.5,-1.933,-0.196,-0.352,-0.827,0.569,1.398,-0.103,,,,,,,NBA Combine,
Khaman Maluach,2025,Freshman,Big,5,Duke,ACC,10.26,#003087,18.76,84.5,"7'0.5""",90.75,"7'6.75""",6.25,253,0.882,,0.391,0.391,0,0.50,8.6,6.6,16.5,19.2,18,0.5,0.8,0.63,4.3,11.6,0.37,0.2,1.3,1.5,0.6,6.8,7.4,94.3,94.3,0,9.9,0.53,0.403,0.766,0.5,0.084,0.25,0.1,0.025,0.1,0.2,0.736,0.723,331,125,147.3,22.3,16.1,0.53,0.03,0.050,0.27,0.720,1,0,0,0,0,0,0,0,1,,88.2,39.1,24.7,90.2,43.7,46.5,44.4,99.5,Quality Starter,Mark Williams,73.7,Lucas Nogueira,69.2,Ante Zizic,68.8,Rudy Gobert,67.7,Dereck Lively II,67,-1.016,0.941,0.587,0.170,1.315,1.798,0.725,,,,,,,NBA Combine,
Derik Queen,2025,Freshman,Big,4.5,Maryland,Big 10,9.41,#E03A3E,20.49,81.25,"6'9.25""",84.5,"7'0.5""",3.25,248,0.414,,0.056,0.056,0,0.10,16.5,9,9,24.6,16.9,1.9,2.4,0.79,11.6,14.5,0.80,1.1,1.1,2.2,2,3.8,5.8,95.1,92.4,2.7,9.2,0.45,0.546,0.766,0.5,0.088,0.2,0.2,0.04,0.1,0.2,0.591,0.535,584,114.8,117,2.2,26.6,0.62,0.07,0.090,0.44,0.545,1,0,0,0,0,0,0,0,1,,41.4,5.6,32.1,40,80.5,62.3,44.4,35.8,Solid Rotation,Bobby Portis,81.8,Caleb Swanigan,81.7,Jeremiah Robinson-Earl,81.4,Ivan Rabb,80.2,Robert Carter,79.2,-2.195,-0.653,-0.429,-1.092,0.163,0.907,-0.441,,,,,,,NBA Combine,
Kasparas Jakucionis,2025,Freshman,Guard,1,Illinois,Big 10,12.79,#E84A27,19.07,76.75,"6'4.75""",79.75,"6'7.75""",3,205,0.85,,0.505,0.505,0,0.50,15,5.7,4.9,13.6,9.5,4.7,3.7,1.27,26,22.7,1.15,0.9,0.3,1.2,1.5,0.8,2.3,102.7,105.2,-2.5,6.6,0.35,0.496,0.845,0.75,0.501,0.318,1.6,0.5088,0.5,0.5625,0.59,0.519,529,114.8,112.1,-2.7,24.2,0.62,0.19,0.153,1.07,0.938,1,0,0,0,0,0,0,0,1,,85,50.5,28.1,89.3,77.1,61.5,48.1,62.2,Solid Rotation,Nikola Topić,77.4,Coby White,73.7,Tyler Herro,73.6,Tre Mann,73,Elie Okobo,72.9,-1.941,0.400,0.419,-0.374,0.878,1.668,0.285,,,,,,,NBA Combine,
