Rank,Name,Role,Pre-NBA,Actual Pick,NBA Team,ABV,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Initial Score,Confidence Adj. Score,Cumulative Prospect Score,Cumulative PS/1000,Age Score,Measurables Score,Athletic Score,Defense Score,Usage Score,Scoring Score,Self Creation Score,Touch Score,IQ Score,Tier
1,Cooper Flagg,Wing,Duke,1,Dallas Mavericks,DAL,18.5,79.75,"6'7.75""",84,"7'0""",4.25,221,516,516,568,0.568,0.81,0.32,0.21,1,0.92,0.53,0.17,0.44,0.4,10
2,Adou Thiero,Wing,Arkansas,36,Los Angeles Lakers,LAL,21.13,78.25,"6'6.25""",84,"7'0""",5.75,218,514,496,545,0.545,0.4,0.32,1,0.57,0.74,0.47,0.41,0.42,0.16,10
3,Khaman Maluach,Big,Duke,10,Phoenix Suns,PHX,18.76,84.5,"7'0.5""",90.75,"7'6.75""",6.25,253,434,434,477,0.477,0.81,0.82,0.27,0.33,0.39,0.99,0.29,0.05,0,9
4,Ryan Kalkbrenner,Big,Creighton,34,Charlotte Hornets,CHA,23.44,85,"7'1""",90,"7'6""",5,257,427,427,470,0.47,0.3,0.82,0.42,0.78,0.6,0.81,0.21,0.21,0.03,9
5,Dylan Harper,Guard,Rutgers,2,San Antonio Spurs,SAS,19.3,76.5,"6'4.5""",82.5,"6'10.5""",6,213,426,423,465,0.465,0.81,0.26,0.16,0.39,0.85,0.51,0.66,0.21,0.29,9
6,Javon Small,Guard,West Virginia,48,Memphis Grizzlies,MEM,22.52,73,"6'1""",76.75,"6'4.75""",3.75,190,409,409,450,0.45,0.3,0.06,0.13,0.77,0.84,0.49,0.84,0.24,0.44,8
7,Collin Murray-Boyles,Wing,South Carolina,9,Toronto Raptors,TOR,20.04,78.5,"6'6.5""",84.75,"7'0.75""",6.25,239,408,408,449,0.449,0.57,0.53,0.22,0.73,0.78,0.56,0.36,0.24,0.13,8
8,Yanic Konan N.,Big,Penn State,30,Los Angeles Clippers,LAC,22.28,83.25,"6'11.25""",87.25,"7'3.25""",4,243,407,405,445,0.445,0.32,0.19,0.89,0.44,0.62,0.49,0.25,0.13,0.01,8
9,Chucky Hepburn,Guard,Louisville,UDFA,Toronto Raptors,TOR,22.38,72.5,"6'0.5""",76.5,"6'4.5""",4,189,398,398,438,0.438,0.32,0.06,0.09,0.75,0.72,0.52,0.47,0.31,0.5,8
10,VJ Edgecombe,Guard,Baylor,3,Philadelphia 76ers,PHI,19.89,76,"6'4""",79.5,"6'7.5""",3.5,193,394,394,433,0.433,0.57,0.1,0.29,0.59,0.68,0.37,0.15,0.3,0.38,8
11,Kasparas Jakucionis,Guard,Illinois,20,Miami Heat,MIA,19.07,76.75,"6'4.75""",79.75,"6'7.75""",3,205,393,393,432,0.432,0.81,0.16,0.1,0.57,0.72,0.54,1,0.13,0.07,8
12,Kadary Richmond,Wing,St. John's,UDFA,Washington Wizards,WAS,23.83,76.25,"6'4.25""",81.5,"6'9.5""",5.25,206,387,387,426,0.426,0.3,0.18,0.12,0.9,0.58,0,0.15,0.59,0.77,8
13,Tre Johnson,Wing,Texas,5,Utah Jazz,UTA,19.29,76.75,"6'4.75""",82.25,"6'10.25""",5.5,190,383,383,421,0.421,0.81,0.08,0.1,0.49,0.79,0.45,0.41,0.66,0.13,7
14,Kon Knueppel,Wing,Duke,4,Charlotte Hornets,CHA,19.88,77,"6'5""",78.25,"6'6.25""",1.25,219,381,381,419,0.419,0.57,0.21,0.1,0.64,0.55,0.79,0.07,0.12,0.23,7
15,Thomas Sorber,Big,Georgetown,15,Oklahoma City Thunder,OKC,19.5,81.5,"6'9.5""",90,"7'6""",8.5,263,391,379,417,0.417,0.81,1,0.12,0.63,0.68,0.34,0.06,0.26,0.16,7
16,Derik Queen,Big,Maryland,13,New Orleans Pelicans,NOP,20.49,81.25,"6'9.25""",84.5,"7'0.5""",3.25,248,374,374,411,0.411,0.57,0.59,0.1,0.9,0.77,0.39,0.46,0.34,0.07,7
17,Ryan Nembhard,Guard,Gonzaga,UDFA,Dallas Mavericks,DAL,22.29,71,"5'11""",74.25,"6'2.25""",3.25,176,454,454,409,0.409,0.32,0.01,0.09,0.67,0.52,0.3,0.62,0.33,1,7
18,Kam Jones,Guard,Marquette,38,Indiana Pacers,IND,23.33,75.25,"6'3.25""",78,"6'6""",2.75,202,370,370,407,0.407,0.3,0.13,0.09,0.62,0.86,0.37,0.3,0.37,0.54,7
19,Jeremiah Fears,Guard,Oklahoma,7,New Orleans Pelicans,NOP,18.7,74.5,"6'2.5""",77.25,"6'5.25""",2.75,180,370,370,407,0.407,0.81,0.03,0.1,0.44,0.96,0.38,0.57,0.29,0.17,7
20,Brooks Barnhizer,Wing,Northwestern,44,Oklahoma City Thunder,OKC,23.31,76.75,"6'4.75""",83,"6'11""",6.25,229,391,366,402,0.402,0.3,0.38,0.18,0.95,0.82,0.09,0.14,0.76,0.48,7
21,Walter Clayton Jr.,Guard,Florida,18,Utah Jazz,UTA,22.3,74,"6'2""",76,"6'4""",2,199,365,365,402,0.402,0.3,0.09,0.11,0.67,0.69,0.67,0.68,0.26,0.23,7
22,Johni Broome,Big,Auburn,35,Philadelphia 76ers,PHI,22.93,81.25,"6'9.25""",84.25,"7'0.25""",3,249,361,361,397,0.397,0.3,0.56,0.22,0.94,0.91,0.25,0.07,0.54,0.18,6
23,Noa Essengue,Wing,Ratiopharm Ulm,12,Chicago Bulls,CHI,18.5,82,"6'10""",84.75,"7'0.75""",2.75,204,359,359,395,0.395,0.81,0.14,0.12,0.59,0.49,0.59,0.18,0.26,0.06,6
24,Asa Newell,Big,Georgia,23,Atlanta Hawks,ATL,19.71,81,"6'9""",83.25,"6'11.25""",2.25,224,357,357,393,0.393,0.57,0.31,0.23,0.53,0.63,0.55,0.39,0.22,0.07,6
25,Jase Richardson,Guard,Michigan State,25,Orlando Magic,ORL,19.69,72.5,"6'0.5""",78,"6'6""",5.5,178,356,356,392,0.392,0.57,0.03,0.11,0.46,0.49,0.67,0.13,0.27,0.28,6
26,Amari Williams,Big,Kentucky,46,Boston Celtics,BOS,23.41,82.5,"6'10.5""",90,"7'6""",7.5,255,354,354,389,0.389,0.3,0.86,0.45,0.41,0.77,0.35,0.4,0.23,0.06,6
27,Egor Demin,Guard,BYU,8,Brooklyn Nets,BKN,19.31,80.25,"6'8.25""",82.25,"6'10.25""",2,199,351,351,386,0.386,0.81,0.12,0.08,0.44,0.73,0.18,0.43,0.14,0.36,6
28,Ben Saraf,Guard,Ratiopharm Ulm,26,Brooklyn Nets,BKN,19.2,78,"6'6""",80.75,"6'8.75""",2.75,199,349,349,384,0.384,0.81,0.13,0.13,0.52,0.79,0.27,0.18,0.34,0.18,6
29,Bogoljub Marković,Big,KK Mega Basket,47,Milwaukee Bucks,MIL,19.95,82.5,"6'10.5""",83.5,"6'11.5""",1,213,349,349,384,0.384,0.57,0.19,0.13,0.59,0.58,0.74,0.18,0.26,0.04,6
30,Ace Bailey,Wing,Rutgers,6,Washington Wizards,WAS,18.85,79.75,"6'7.75""",84.5,"7'0.5""",4.75,203,348,348,383,0.383,0.81,0.17,0.11,0.53,0.75,0.28,0.25,0.9,0.03,6
31,Vladislav Goldin,Big,Michigan,UDFA,Miami Heat,MIA,24.12,84,"7'0""",89.25,"7'5.25""",5.25,253,347,347,382,0.382,0.3,0.75,0.24,0.52,0.74,0.68,0.08,0.41,0.01,6
32,Sean Pedulla,Guard,Ole Miss,UDFA,Portland Trail Blazers,POR,22.71,72.5,"6'0.5""",73.75,"6'1.75""",1.25,194,343,343,377,0.377,0.3,0.06,0.09,0.62,0.65,0.53,0.31,0.25,0.37,6
33,Micah Peavy,Wing,Georgetown,40,New Orleans Pelicans,NOP,23.94,78.25,"6'6.25""",79.25,"6'7.25""",1,212,342,342,376,0.376,0.3,0.18,0.14,0.72,0.69,0.34,0.36,0.52,0.3,6
34,John Tonje,Wing,Wisconsin,53,Utah Jazz,UTA,24.17,76.75,"6'4.75""",81,"6'9""",4.25,212,342,342,376,0.376,0.3,0.22,0.14,0.51,0.77,0.82,0.44,0.24,0.06,6
35,Brice Williams,Wing,Nebraska,UDFA,Detroit Pistons,DET,23.97,77.25,"6'5.25""",82.75,"6'10.75""",5.5,206,338,338,372,0.372,0.3,0.21,0.12,0.51,0.8,0.63,0.35,0.61,0.12,5
36,Will Richard,Wing,Florida,56,Golden State Warriors,GSW,22.5,75.25,"6'3.25""",81.75,"6'9.75""",6.5,210,334,334,367,0.367,0.3,0.21,0.12,0.69,0.42,0.7,0.29,0.11,0.2,5
37,Norchad Omier,Wing,Baylor,UDFA,Cleveland Cavaliers,CLE,23.83,77.5,"6'5.5""",83.5,"6'11.5""",6,246,334,334,367,0.367,0.3,0.55,0.13,0.7,0.7,0.56,0.26,0.53,0.03,5
38,Noah Penda,Wing,Le Mans Sarthe,32,Orlando Magic,ORL,20.47,79,"6'7""",84,"7'0""",5,225,333,333,366,0.366,0.57,0.48,0.12,0.59,0.45,0.31,0.18,0.26,0.24,5
39,Caleb Grill,Guard,Missouri,UDFA,Chicago Bulls,CHI,25.03,74.25,"6'2.25""",79.5,"6'7.5""",5.25,204,331,331,364,0.364,0.3,0.14,0.1,0.33,0.5,0.91,0.08,0.06,0.29,5
40,Curtis Jones,Guard,Iowa State,UDFA,Denver Nuggets,DEN,24.41,75,"6'3""",79.5,"6'7.5""",4.5,183,331,331,364,0.364,0.3,0.05,0.09,0.59,0.72,0.52,0.36,0.55,0.23,5
41,Hunter Sallis,Guard,Wake Forest,UDFA,Philadelphia 76ers,PHI,22.25,75.75,"6'3.75""",82,"6'10""",6.25,181,330,330,363,0.363,0.32,0.03,0.18,0.67,0.77,0.33,0.32,1,0.12,5
42,Max Shulga,Guard,VCU,57,Boston Celtics,BOS,23,76.25,"6'4.25""",77.75,"6'5.75""",1.5,206,402,402,362,0.362,0.3,0.15,0.1,0.69,0.61,0.56,0.22,0.2,0.63,5
