Player,Pre-NBA,Draft Year,Combine Position,Primary Position,Secondary Positions,Default Position,Is Primary,Hand Length (in.),Hand Width (in.),Height w/o Shoes,Height (in.),Standing Reach,Standing Reach (in.),Wingspan,Wingspan (in.),Weight (lbs),Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical,Max Vertical,Height (in.)_Percentile,Standing Reach (in.)_Percentile,Wingspan (in.)_Percentile,Weight (lbs)_Percentile,Hand Length (in.)_Percentile,Hand Width (in.)_Percentile,Physical Score,Lane Agility Time_Percentile,Three Quarter Sprint_Percentile,Shuttle Run_Percentile,Agility Score,Max Vertical_Percentile,Standing Vertical_Percentile,Vertical Score,Raw Score,Combine Score
Ace Bailey,Rutgers,2025,SF-PF,SF,PF,SF,1,8.5,9,"6'7.5""",79.5,"8'11""",107,"7'0.5""",84.5,202.8,10.97,2.78,3.12,27.5,34.5,87.06293706,90.67599068,78.55477855,20.86247086,30.15873016,26.58730159,69.28904429,77.64857881,87.85529716,93.52941176,82.75193798,41.1311054,23.96907216,32.55008878,61.53035702,77.57255937
Adou Thiero,Arkansas,2025,PG-SG,SF,SG,SF,1,9,10.25,"6'6.25""",78.25,"8'8.5""",104.5,"7'0""",84,218.4,,,,,,54.54545455,57.45920746,69.6969697,62.47086247,74.8015873,92.65873016,61.04312354,,,,,,,,,
Alex Condon,,2025,SF-PF,PF,C,PF,1,9.25,9.75,"6'11.25""",83.25,"8'11.5""",107.5,"7'0.75""",84.75,221.8,11.57,2.76,3.27,30,34.5,99.31506849,55.3652968,43.72146119,22.83105023,75.58139535,51.62790698,55.30821918,50.75949367,63.52040816,92.63565891,57.13995092,65.69620253,71.33838384,68.51729319,60.32182109,73.45360825
Alex Toohey,Sydney,2025,SF,SF,SG-PF,SF,1,9,10.25,"6'7.75""",79.75,"8'8.5""",104.5,"6'10.75""",82.75,222.8,11.38,2.9,3.2,26.5,31.5,91.95804196,57.45920746,49.18414918,74.70862471,74.8015873,92.65873016,68.32750583,43.54005168,68.34625323,84.70588235,55.94315245,14.52442159,14.30412371,14.41427265,46.22831031,39.84168865
Alijah Martin,Florida,2025,SG,SG,PG-SF,SG,1,8.25,9.25,"6'1.5""",73.5,"8'3.5""",99.5,"6'7.5""",79.5,208.4,11.06,3.05,3.11,29.5,38,2.013422819,23.32214765,30.70469799,68.68686869,17.06730769,47.83653846,31.18178429,53.08880309,86.01532567,50,69.55206438,73.37164751,46.41509434,59.89337092,53.54240653,59.3625498
Asa Newell,Georgia,2025,SF-PF,PF,SF-C,PF,1,9.25,10,"6'9""",81,"8'11.5""",107.5,"6'11.25""",83.25,223.8,10.95,2.78,3.26,29.5,36.5,76.14155251,55.3652968,19.6347032,27.39726027,75.58139535,65.58139535,44.6347032,89.11392405,68.1122449,91.47286822,78.61308447,85.3164557,66.03535354,75.67590462,66.30789743,87.88659794
Ben Henshall,,2025,SG,SG,SF,SG,1,8,8,"6'5.5""",77.5,"8'3.5""",99.5,"6'6.5""",78.5,193.4,10.49,3,3.07,30,36.5,94.96644295,23.32214765,15.10067114,26.93602694,5.288461538,1.682692308,40.08132217,95.94594595,93.48659004,62.32394366,94.71626799,59.00383142,52.64150943,55.82267043,63.54008686,76.89243028
Ben Saraf,Ratiopharm Ulm,2025,PG,PG,SG,PG,1,9.44,8.07,"6'6""",78,"8'4""",100,"6'8.7""",80.7,199,11.1,,3.2,,,99.15730337,83.28651685,88.20224719,83.52112676,99.50248756,6.965174129,88.54179854,45.3968254,51.11464968,,,,,,,
Bogoljub Markovic,KK Mega Basket,2025,PF,C,PF,C,1,8.25,9.75,"6'10.5""",82.5,"9'2""",110,"6'11.5""",83.5,213.2,11.4,2.96,3.43,24,27.5,50.26041667,45.02617801,5.729166667,4.166666667,1.2,37.2,26.295607,82.38993711,43.08176101,79.41176471,62.73584906,12.89308176,17.61006289,15.25157233,34.76100946,14.55696203
Boogie Fland,,2025,PG,PG,SG,PG,1,8.5,9,"6'2""",74,"8'2""",98,"6'6""",78,172.4,,,,,,68.82022472,58.56741573,56.17977528,14.50704225,71.64179104,49.50248756,49.5186145,,,,,,,,,
Brice Williams,Nebraska,2025,SG,SG,SF,SG,1,9,10.75,"6'5.25""",77.25,"8'7""",103,"6'10.75""",82.75,205.8,11.19,2.98,3.2,27.5,32.5,91.10738255,82.88590604,86.24161074,63.97306397,88.46153846,99.51923077,81.05199083,40.15444015,56.70498084,66.1971831,48.4297105,15.51724138,22.0754717,18.79635654,49.42601929,47.01195219
Carter Bryant,Arizona,2025,SF-PF,SF,PF,SF,1,8.5,9.5,"6'6.5""",78.5,"8'10""",106,"6'11.75""",83.75,214.8,11.25,3.14,3.07,30.5,39.5,62.47086247,79.6037296,65.38461538,52.91375291,30.15873016,58.92857143,65.09324009,52.71317829,95.47803618,35.88235294,74.09560724,90.10282776,63.65979381,76.88131079,72.02338604,93.93139842
Cedric Coward,Washington State,2025,PG-SG,SF,SG,SF,1,9.25,10,"6'5.25""",77.25,"8'10""",106,"7'2.25""",86.25,213,10.97,3.02,3.06,32.5,38.5,22.84382284,79.6037296,94.05594406,47.2027972,91.46825397,83.53174603,60.92657343,77.64857881,97.15762274,64.70588235,87.40310078,83.80462725,83.7628866,83.78375692,77.37114371,99.20844327
Chaz Lanier,Tennessee,2025,PG-SG,SG,PG-SF,SG,1,8.5,9.75,"6'3.75""",75.75,"8'5.5""",101.5,"6'9""",81,205.8,10.53,2.96,3.12,33,39,45.46979866,59.06040268,57.88590604,63.97306397,42.54807692,79.32692308,56.59729284,94.20849421,83.52490421,71.83098592,88.86669921,81.99233716,85.47169811,83.73201764,76.3986699,96.01593625
Chris Youngblood,Alabama,2025,SG-SF,SG,SF,SG,1,9,9,"6'3.25""",75.25,"8'3""",99,"6'6.75""",78.75,223.4,,,,27.5,33.5,30.53691275,17.28187919,18.79194631,96.2962963,88.46153846,32.69230769,40.72675864,,,,,23.75478927,22.0754717,22.91513049,,
Collin Murray-Boyles,South Carolina,2025,SF-PF,PF,SF-C,PF,1,8.5,10.25,"6'6.5""",78.5,"8'10""",106,"7'0.75""",84.75,239.2,11.21,2.86,3.15,29.5,34.5,11.87214612,27.05479452,43.72146119,58.56164384,10.46511628,78.8372093,35.30251142,77.34177215,93.75,88.75968992,85.54588608,65.69620253,66.03535354,65.86577803,62.23805851,78.86597938
Cooper Flagg,Duke,2025,SF-PF,SF,PF,SF,1,8.75,9.75,"6'7.75""",79.75,"8'10.5""",106.5,"7'0""",84,221,10.64,2.92,3.3,29,35.5,91.95804196,85.66433566,69.6969697,70.16317016,52.57936508,73.01587302,79.37062937,94.05684755,36.56330749,81.47058824,65.31007752,54.37017995,43.04123711,48.70570853,64.46213847,84.96042216
Curtis Jones,Iowa State,2025,SG,SG,PG,SG,1,9.25,8.75,"6'3""",75,"8'3""",99,"6'7.5""",79.5,183.4,11.28,2.86,3.13,29,37,23.15436242,17.28187919,30.70469799,9.764309764,97.11538462,20.19230769,20.22631234,36.67953668,80.45977011,91.54929577,58.5696534,63.2183908,39.43396226,51.32617653,43.37404742,30.27888446
Danny Wolf,Michigan,2025,SF-PF,C,PF,C,1,9.25,9.75,"6'10.5""",82.5,"9'1""",109,"7'2.25""",86.25,251.8,11.26,2.91,3.51,24,30,50.26041667,27.48691099,31.25,66.40625,56.4,37.2,43.85089442,90.25157233,22.01257862,88.23529412,56.13207547,31.44654088,17.61006289,24.52830189,41.50375726,31.01265823
Darrion Williams,,2025,SF,SF,PF,SF,1,9,10.5,"6'4.5""",76.5,"8'5""",101,"6'6.5""",78.5,236,11.73,3.01,3.34,24,30,6.41025641,8.974358974,2.331002331,92.65734266,74.8015873,97.81746032,27.59324009,20.28423773,24.16020672,65.88235294,22.22222222,5.784061697,3.221649485,4.502855591,18.10610597,0.2638522427
