Name,Draft Year,Nationality,Role,League,Pre-NBA,Team Color,Actual Pick,NBA Team,ABV,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs)
Cade Cunningham,2021,USA,Guard,Big 12,Oklahoma State,#FF7300,1,Detroit Pistons,DET,19.73,78,"6'6""",84.25,"7'0.25""",6.25,220
Jalen Green,2021,USA,Guard,G League,G League Ignite,#8C2A93,2,Houston Rockets,HOU,19.36,76,"6'4""",79.5,"6'7.5""",3.5,178
Evan Mobley,2021,USA,Big,PAC 12,USC,#990000,3,Cleveland Cavaliers,CLE,20,83,"6'11""",88,"7'4""",5,215
Scottie Barnes,2021,USA,Wing,ACC,Florida State,#782F40,4,Toronto Raptors,TOR,19.88,79,"6'7""",86.75,"7'2.75""",7.75,225
Jalen Suggs,2021,USA,Guard,WCC,Gonzaga,#C8102E,5,Orlando Magic,ORL,19.99,75.5,"6'3.5""",77.5,"6'5.5""",2,205
Josh Giddey,2021,Australia,Guard,Aus. NBL,Adelaide,#DA3739,6,Oklahoma City Thunder,OKC,18.69,80,"6'8""",79.5,"6'7.5""",-0.5,205
Jonathan Kuminga,2021,DRC,Wing,G League,G League Ignite,#8C2A93,7,Golden State Warriors,GSW,18.7,79,"6'7""",83.25,"6'11.25""",4.25,210
Franz Wagner,2021,Germany,Wing,Big 10,Michigan,#FFCB05,8,Orlando Magic,ORL,19.81,81,"6'9""",83.5,"6'11.5""",2.5,205
Davion Mitchell,2021,USA,Guard,Big 12,Baylor,#154734,9,Sacramento Kings,SAC,22.79,73.25,"6'1.25""",76.25,"6'4.25""",3,202
Ziaire Williams,2021,USA,Wing,PAC 12,Stanford,#8C1515,10,Memphis Grizzlies,MEM,19.77,80.25,"6'8.25""",82.25,"6'10.25""",2,188
James Bouknight,2021,USA,Guard,Big East,UConn,#E4002B,11,Charlotte Hornets,CHA,20.75,75.5,"6'3.5""",80.25,"6'8.25""",4.75,190
Joshua Primo,2021,Canada,Guard,SEC,Alabama,#9E1B32,12,San Antonio Spurs,SAS,18.48,76,"6'4""",81.25,"6'9.25""",5.25,189
Chris Duarte,2021,Canada,Wing,PAC 12,Oregon,#154733,13,Indiana Pacers,IND,24.01,77,"6'5""",79,"6'7""",2,190
Moses Moody,2021,USA,Wing,SEC,Arkansas,#9D2235,14,Golden State Warriors,GSW,19.05,76.5,"6'4.5""",84.75,"7'0.75""",8.25,211
Corey Kispert,2021,USA,Wing,WCC,Gonzaga,#C8102E,15,Washington Wizards,WAS,22.3,78,"6'6""",79,"6'7""",1,224
Alperen Sengun,2021,Turkey,Big,Turkish BSL,Beşiktaş,#D4342F,16,Houston Rockets,HOU,18.9,82,"6'10""",84.5,"7'0.5""",2.5,240
Trey Murphy III,2021,USA,Wing,ACC,Virginia,#F84C1E,17,New Orleans Pelicans,NOP,21,79.5,"6'7.5""",84,"7'0""",4.5,206
Tre Mann,2021,USA,Guard,SEC,Florida,#FA4616,18,Oklahoma City Thunder,OKC,20.37,75.25,"6'3.25""",76,"6'4""",0.75,178
