Name,Draft Year,Role,League,Pre-NBA,Team Color,Actual Pick,NBA Team,ABV,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs)
Zaccharie Risacher,2024,Wing,French LNB Élite,JL Bourg-en-Bresse,#CB2B1D,1,Atlanta Hawks,ATL,19.2,80.5,"6'8.5""",81.5,"6'9.5""",1,204
Alexandre Sarr,2024,Big,Aus. NBL,Perth,#ED1D24,2,Washington Wizards,WAS,19.15,83.75,"6'11.75""",88.25,"7'4.25""",4.5,205
Reed Sheppard,2024,Guard,SEC,Kentucky,#0033A0,3,Houston Rockets,HOU,19.99,73.75,"6'1.75""",75.25,"6'3.25""",1.5,182
Stephon Castle,2024,Guard,Big East,UConn,#E4002B,4,San Antonio Spurs,SAS,19.63,77.5,"6'5.5""",81,"6'9""",3.5,210
Ron Holland,2024,Wing,G League,G League Ignite,#8C2A93,5,Detroit Pistons,DET,18.95,78.5,"6'6.5""",82.75,"6'10.75""",4.25,197
Tidjane Salaun,2024,Wing,French LNB Élite,Cholet Basket,#C63025,6,Charlotte Hornets,CHA,18.86,80.75,"6'8.75""",85.5,"7'1.5""",4.75,203
Donovan Clingan,2024,Big,Big East,UConn,#E4002B,7,Portland Trail Blazers,POR,20.32,85.75,"7'1.75""",90.75,"7'6.75""",5,282
Rob Dillingham,2024,Guard,SEC,Kentucky,#0033A0,8,Minnesota Timberwolves,MIN,19.46,73,"6'1""",75,"6'3""",2,164
Zach Edey,2024,Big,Big 10,Purdue,#CEB888,9,Memphis Grizzlies,MEM,22.1,87.75,"7'3.75""",94.75,"7'10.75""",7,299
Cody Williams,2024,Wing,PAC 12,Colorado,#CFB87C,10,Utah Jazz,UTA,19.58,78.5,"6'6.5""",85,"7'1""",6.5,178
Matas Buzelis,2024,Wing,G League,G League Ignite,#8C2A93,11,Chicago Bulls,CHI,19.68,80.75,"6'8.75""",82,"6'10""",1.25,197
Nikola Topić,2024,Guard,Adriatic ABA,KK Crvena Zvezda,#D13431,12,Oklahoma City Thunder,OKC,18.86,77.75,"6'5.75""",77.5,"6'5.5""",-0.25,200
Devin Carter,2024,Guard,Big East,Providence,#8A8D8F,13,Sacramento Kings,SAC,22.26,74.25,"6'2.25""",80.75,"6'8.75""",6.5,193
Carlton Carrington,2024,Guard,ACC,Pittsburgh,#003594,14,Washington Wizards,WAS,18.92,75.75,"6'3.75""",78.5,"6'6.5""",2.75,190
Kel'el Ware,2024,Big,Big 10,Indiana,#990000,15,Miami Heat,MIA,20.17,83.75,"6'11.75""",88.5,"7'4.5""",4.75,230
Jared McCain,2024,Guard,ACC,Duke,#003087,16,Philadelphia 76ers,PHI,20.33,74,"6'2""",75.5,"6'3.5""",1.5,203
Dalton Knecht,2024,Wing,SEC,Tennessee,#FF8200,17,Los Angeles Lakers,LAL,23.17,77.25,"6'5.25""",81,"6'9""",3.75,212
Tristan da Silva,2024,Wing,PAC 12,Colorado,#CFB87C,18,Orlando Magic,ORL,23.1,80.25,"6'8.25""",82.25,"6'10.25""",2,217
Ja'Kobe Walter,2024,Wing,Big 12,Baylor,#154734,19,Toronto Raptors,TOR,19.79,76.25,"6'4.25""",82,"6'10""",5.75,198
Jaylon Tyson,2024,Wing,PAC 12,Cal,#FDB515,20,Cleveland Cavaliers,CLE,21.55,77.5,"6'5.5""",80,"6'8""",2.5,218
Yves Missi,2024,Big,Big 12,Baylor,#154734,21,New Orleans Pelicans,NOP,20.1,82.75,"6'10.75""",86,"7'2""",3.25,229
DaRon Holmes II,2024,Big,A-10,Dayton,#CE1141,22,Denver Nuggets,DEN,21.85,80.75,"6'8.75""",85,"7'1""",4.25,236
AJ Johnson,2024,Guard,Aus. NBL,Illawarra,#A52119,23,Milwaukee Bucks,MIL,19.55,76.25,"6'4.25""",80.5,"6'8.5""",4.25,167
Kyshawn George,2024,Wing,ACC,Miami,#F47321,24,Washington Wizards,WAS,20.52,79,"6'7""",82.25,"6'10.25""",3.25,209
Pacome Dadiet,2024,Wing,German BBL,Ratiopharm Ulm,#D74F37,25,New York Knicks,NYK,18.9,79.75,"6'7.75""",81,"6'9""",1.25,210
Dillon Jones,2024,Wing,Big Sky,Weber State,#4B2682,26,Oklahoma City Thunder,OKC,22.64,76.5,"6'4.5""",83,"6'11""",6.5,237
Terrence Shannon Jr.,2024,Wing,Big 10,Illinois,#E84A27,27,Minnesota Timberwolves,MIN,23.89,77.75,"6'5.75""",80.75,"6'8.75""",3,219
Ryan Dunn,2024,Wing,ACC,Virginia,#F84C1E,28,Phoenix Suns,PHX,21.45,78.25,"6'6.25""",85.5,"7'1.5""",7.25,214
Isaiah Collier,2024,Guard,PAC 12,USC,#990000,29,Utah Jazz,UTA,19.7,74.5,"6'2.5""",76.75,"6'4.75""",2.25,205
Baylor Scheierman,2024,Wing,Big East,Creighton,#005CA9,30,Boston Celtics,BOS,23.73,78.25,"6'6.25""",80.25,"6'8.25""",2,202
Jonathan Mogbo,2024,Big,WCC,San Francisco,#00543C,31,Toronto Raptors,TOR,22.64,78.25,"6'6.25""",86,"7'2""",7.75,217
Kyle Filipowski,2024,Big,ACC,Duke,#003087,32,Utah Jazz,UTA,20.62,82.75,"6'10.75""",82.5,"6'10.5""",-0.25,230
Tyler Smith,2024,Big,G League,G League Ignite,#8C2A93,33,Milwaukee Bucks,MIL,19.63,81,"6'9""",85,"7'1""",4,224
Tyler Kolek,2024,Guard,Big East,Marquette,#FFCC00,34,New York Knicks,NYK,23.23,73.25,"6'1.25""",74.75,"6'2.75""",1.5,197
