Name,Draft Year,Class,Team,Role,Position,Pre-NBA,League,SOS,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Physical Score,bSPARQ Per.,Combine Score,Athleticism,Freak Athlete,Athletic Tier,PTS,REB,ORB%,DRB%,TRB%,AST,TOV,AST/TOV,AST%,TOV%,AST%/TOV%,STL,BLK,Stocks,STL%,BLK%,Stocks %,Team DRtg,DRtg,DRtg +/-,PER,PER/Age,Age_Adj_PER,WS/40,[WS/40]/Age,BPM,Age_Adj_BPM,FTr,FT%,FT Rating,3PAr,3P%,3PM/G,3PM x 3P%,3P Rating,Shooter,eFG%,TS%,PProd,USG%,PTS/USG%,AST/USG%,TOV/USG%,AST%/USG%,TOV%/USG%,NCAAM,International,Euro,NBL,Americas,Other,G League,OE,Y1 Rotation,EPM_Y1,EPM_Y2,EPM_Y3,EPM_Y4,EPM_Y5,AVG EPM,Tier,Top 3 Pick,Lottery Pick,G Played Issue,Missing Data
Anthony Bennett,2013,Freshman,CLE,Wing,4,UNLV,Mountain West,5.6,20.3,79,"6'7""",85,"7'1""",6,239,0.677,0.75,0.75,0.750,0,0.75,16.2,8.0,10.3,24.2,17.2,1.0,1.8,0.56,8.9,12.8,0.70,0.7,1.2,1.9,1.5,4.4,5.9,91.1,89.6,1.5,28.3,1.39,0.58,0.238,0.012,8.31,8.87,0.467,0.701,0.5,0.253,0.375,1,0.375,0.5,0.5,0.59,0.62,488,27.12,0.60,0.038,0.068,0.328,0.471,1,0,0,0,0,0,0,0,1,-5.15268,-4.42787,-2.2495,-0.376853,,-3.052,Fringe NBA,1,1,,
Victor Oladipo,2013,Junior,ORL,Guard,2,Indiana,Big 10,8.39,21.1,76.25,"6'4.25""",81.25,"6'9.25""",5,213,0.818,0.879,0.867,0.872,0,0.75,13.9,6.4,11.8,15.1,13.5,2.1,2.3,0.90,15.4,18.4,0.84,2.2,0.8,3.0,4.6,2.8,7.4,91.9,87.3,4.6,28.9,1.37,0.53,0.264,0.013,15.23,15.13,0.428,0.746,0.5,0.224,0.441,0.8,0.3528,0.5,0.5,0.65,0.67,478,22.4,0.62,0.093,0.103,0.686,0.821,1,0,0,0,0,0,0,0,1,-1.33115,-0.715013,1.46174,0.670826,4.6179,0.941,Fringe All-Star,1,1,,
Otto Porter Jr.,2013,Sophomore,WAS,Wing,3,Georgetown,Big East,7.61,20,80.5,"6'8.5""",85.5,"7'1.5""",5,198,0.63,0.132,0.454,0.325,0,0.50,17.1,7.7,6.7,21.2,14.1,2.9,1.5,1.92,19.3,10.5,1.84,1.8,0.9,2.7,3.3,3.0,6.3,89,85.3,3.7,27.3,1.37,0.57,0.260,0.013,13.71,14.51,0.449,0.777,0.5,0.291,0.422,1.4,0.5908,0.75,0.6875,0.55,0.60,,24.26,0.70,0.119,0.062,0.797,0.434,1,0,0,0,0,0,0,0,1,-4.6782,-1.26603,1.32514,2.59704,3.0387,0.203,Solid Rotation,1,1,,
Cody Zeller,2013,Sophomore,CHA,Big,5,Indiana,Big 10,8.39,20.7,84.25,"7'0.25""",82.75,"6'10.75""",-1.5,230,0.263,0.968,0.966,0.967,1,1.00,17.0,8.3,12.3,20.4,16.6,1.4,2.3,0.58,9.9,14.6,0.68,1.0,1.4,2.4,2.1,4.5,6.6,91.9,89.5,2.4,29.8,1.44,0.61,0.274,0.013,11.24,11.4,0.734,0.757,0.5,0.006,0,0,0,0,0.125,0.57,0.62,567,26.89,0.63,0.050,0.087,0.369,0.542,1,0,0,0,0,0,0,0,1,-2.42822,0.739281,1.15144,1.50434,-1.56559,-0.120,Solid Rotation,0,1,,
Alex Len,2013,Sophomore,PHX,Big,5,Maryland,ACC,4.68,20,85,"7'1""",87.5,"7'3.5""",2.5,225,0.565,0.5,0.5,0.500,0,0.50,12.0,7.5,13.2,21.0,17.2,1.0,1.5,0.69,7.8,13.5,0.57,0.2,2.0,2.2,0.5,7.7,8.2,94.8,93.1,1.7,24.5,1.23,0.43,0.200,0.010,6.32,6.85,0.472,0.686,0.25,0.025,0.125,0.03,0.00375,0.1,0.1375,0.54,0.57,434,22.76,0.53,0.046,0.066,0.341,0.594,1,0,0,0,0,0,0,0,1,-4.47532,-0.690868,-3.29307,-2.11374,-1.28179,-2.371,Bench Reserve,0,1,,
Nerlens Noel,2013,Freshman,PHI,Big,5,Kentucky,SEC,5.81,19.2,83.75,"6'11.75""",87.75,"7'3.75""",4,206,0.457,0.75,0.75,0.750,0,0.75,11.5,9.5,10.4,23.9,17.4,1.7,1.8,0.95,10.2,17.8,0.57,2.2,4.4,6.6,3.9,13.0,16.9,95.8,82.3,13.5,27.3,1.42,0.65,0.206,0.011,11.81,12.77,0.627,0.529,0,0,0,0,0,0,0,0.6,0.59,257,18.09,0.64,0.096,0.102,0.562,0.982,1,0,0,0,0,0,0,0,1,,-0.991024,-0.449295,1.89724,-1.47502,-0.255,Solid Rotation,0,1,,
Ben McLemore,2013,Freshman,SAC,Wing,2.5,Kansas,Big 12,7.55,20.4,76.75,"6'4.75""",79.75,"6'7.75""",3,189,0.114,0.487,0.525,0.510,0,0.50,16.2,5.2,5,13.2,9.4,2.1,1.9,1.12,13.2,14.5,0.91,1.0,0.7,1.7,1.9,2.2,4.1,89.9,93.7,-3.8,23.2,1.14,0.32,0.217,0.011,10.5,11.08,0.345,0.87,0.75,0.435,0.42,2,0.84,0.75,0.75,0.59,0.64,530,23.2,0.70,0.092,0.082,0.569,0.624,1,0,0,0,0,0,0,0,1,-3.444,-0.345804,-1.4346,-3.00333,-3.62256,-2.370,Bench Reserve,0,1,,
Kentavious Caldwell-Pope,2013,Sophomore,DET,Wing,2.5,Georgia,SEC,6.17,20.3,77.5,"6'5.5""",80,"6'8""",2.5,204,0.228,0.365,0.521,0.459,0,0.50,18.4,7.0,4.3,21.3,12.9,1.9,2.0,0.94,17.2,11.7,1.47,2.0,0.5,2.5,3.9,1.9,5.7,97.1,91,6.1,27.7,1.36,0.55,0.230,0.011,12.28,12.96,0.393,0.799,0.75,0.523,0.373,2.6,0.9698,1,0.9375,0.54,0.59,521,28.9,0.64,0.064,0.068,0.595,0.405,1,0,0,0,0,0,0,0,1,-1.13639,0.106008,0.804076,-0.246277,0.133413,-0.068,Solid Rotation,0,1,,
Trey Burke,2013,Sophomore,UTA,Guard,1,Michigan,Big 10,10.05,20.6,73.25,"6'1.25""",77.5,"6'5.5""",4.25,187,0.416,0.531,0.468,0.493,0,0.50,19.6,3.4,1.9,9.6,5.7,6.9,2.2,3.08,38.2,11.7,3.27,1.7,0.5,2.2,2.9,1.5,4.5,97.7,100,-2.3,28.7,1.39,0.57,0.249,0.012,13.49,13.88,0.296,0.801,0.75,0.354,0.384,1.9,0.7296,0.75,0.75,0.53,0.57,776,28.9,0.68,0.238,0.078,1.322,0.404,1,0,0,0,0,0,0,0,1,-1.59571,-2.26067,-2.24658,-3.26488,1.79216,-1.515,Bench Reserve,0,1,,
CJ McCollum,2013,Senior,POR,Guard,1.5,Lehigh,Patriot League,-3,21.8,74.25,"6'2.25""",78.25,"6'6.25""",4,197,0.602,0.751,0.518,0.611,0,0.50,19.9,4.4,4,15.8,10.0,2.4,2.5,0.94,22.1,13.9,1.59,1.1,0.2,1.3,2.3,1.1,3.3,97.9,98.1,-0.2,34.7,1.59,0.72,0.261,0.012,7.63,6.86,0.376,0.849,1,0.33,0.516,2.8,1.4448,1,1,0.57,0.62,250,34.7,0.57,0.068,0.072,0.637,0.401,1,0,0,0,0,0,0,0,1,-2.6817,-0.38054,1.5066,2.06519,1.15165,0.332,Fringe All-Star,0,1,,
