Rank,Name,Role,League,Pre-NBA,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Actual Pick,NBA Team,ABV,NCAAM,combine_invite
1,Stephon Castle,Guard,Big East,UConn,19.63,77.5,"6'5.5""",81,"6'9""",3.5,210,4,San Antonio Spurs,SAS,1,NBA
2,Donovan Clingan,Big,Big East,UConn,20.32,85.75,"7'1.75""",90.75,"7'6.75""",5,282,7,Portland Trail Blazers,POR,1,NBA
3,Jared McCain,Guard,ACC,Duke,20.33,74,"6'2""",75.5,"6'3.5""",1.5,203,16,Philadelphia 76ers,PHI,1,NBA
4,KJ Simpson,Guard,PAC 12,Colorado,21.87,72.25,"6'0.25""",76.5,"6'4.5""",4.25,187,42,Charlotte Hornets,CHA,1,NBA
5,Zach Edey,Big,Big 10,Purdue,22.1,87.75,"7'3.75""",94.75,"7'10.75""",7,299,9,Memphis Grizzlies,MEM,1,NBA
6,Kel'el Ware,Big,Big 10,Indiana,20.17,83.75,"6'11.75""",88.5,"7'4.5""",4.75,230,15,Miami Heat,MIA,1,NBA
7,Dalton Knecht,Wing,SEC,Tennessee,23.17,77.25,"6'5.25""",81,"6'9""",3.75,212,17,Los Angeles Lakers,LAL,1,NBA
8,Yves Missi,Big,Big 12,Baylor,20.1,82.75,"6'10.75""",86,"7'2""",3.25,229,21,New Orleans Pelicans,NOP,1,NBA
9,Dillon Jones,Wing,Big Sky,Weber State,22.64,76.5,"6'4.5""",83,"6'11""",6.5,237,26,Oklahoma City Thunder,OKC,1,NBA
10,Adem Bona,Big,PAC 12,UCLA,21.23,81.5,"6'9.5""",87.75,"7'3.75""",6.25,243,41,Philadelphia 76ers,PHI,1,NBA
11,Tristan da Silva,Wing,PAC 12,Colorado,23.1,80.25,"6'8.25""",82.25,"6'10.25""",2,217,18,Orlando Magic,ORL,1,NBA
12,Jaylon Tyson,Wing,PAC 12,Cal,21.55,77.5,"6'5.5""",80,"6'8""",2.5,218,20,Cleveland Cavaliers,CLE,1,NBA
13,Reed Sheppard,Guard,SEC,Kentucky,19.99,73.75,"6'1.75""",75.25,"6'3.25""",1.5,182,3,Houston Rockets,HOU,1,NBA
14,Rob Dillingham,Guard,SEC,Kentucky,19.46,73,"6'1""",75,"6'3""",2,164,8,Minnesota Timberwolves,MIN,1,NBA
15,Pelle Larsson,Wing,PAC 12,Arizona,23.32,77.25,"6'5.25""",79.5,"6'7.5""",2.25,212,44,Miami Heat,MIA,1,NBA
16,Kyle Filipowski,Big,ACC,Duke,20.62,82.75,"6'10.75""",82.5,"6'10.5""",-0.25,230,32,Utah Jazz,UTA,1,NBA
17,Ryan Dunn,Big,ACC,Virginia,21.45,78.25,"6'6.25""",85.5,"7'1.5""",7.25,214,28,Phoenix Suns,PHX,1,NBA
18,Isaiah Collier,Guard,PAC 12,USC,19.7,74.5,"6'2.5""",76.75,"6'4.75""",2.25,205,29,Utah Jazz,UTA,1,NBA
19,Johnny Furphy,Wing,Big 12,Kansas,19.53,79.5,"6'7.5""",80,"6'8""",0.5,202,35,Indiana Pacers,IND,1,NBA
20,Cody Williams,Wing,PAC 12,Colorado,19.58,78.5,"6'6.5""",85,"7'1""",6.5,178,10,Utah Jazz,UTA,1,NBA
21,Harrison Ingram,Wing,ACC,North Carolina,21.56,77.25,"6'5.25""",84.25,"7'0.25""",7,234,48,San Antonio Spurs,SAS,1,NBA
22,Tristen Newton,Guard,Big East,UConn,23.15,75.25,"6'3.25""",78.75,"6'6.75""",3.5,192,49,Indiana Pacers,IND,1,NBA
23,Jonathan Mogbo,Big,WCC,San Francisco,22.64,78.25,"6'6.25""",86,"7'2""",7.75,217,31,Toronto Raptors,TOR,1,NBA
24,Oso Ighodaro,Big,Big East,Marquette,21.97,81.5,"6'9.5""",83,"6'11""",1.5,222,40,Phoenix Suns,PHX,1,NBA
25,Baylor Scheierman,Wing,Big East,Creighton,23.73,78.25,"6'6.25""",80.25,"6'8.25""",2,202,30,Boston Celtics,BOS,1,NBA
26,Tyler Kolek,Guard,Big East,Marquette,23.23,73.25,"6'1.25""",74.75,"6'2.75""",1.5,197,34,New York Knicks,NYK,1,NBA
27,Cam Spencer,Guard,Big East,UConn,24.21,75,"6'3""",77,"6'5""",2,202,53,Memphis Grizzlies,MEM,1,NBA
28,DaRon Holmes II,Big,A-10,Dayton,21.85,80.75,"6'8.75""",85,"7'1""",4.25,236,22,Denver Nuggets,DEN,1,NBA
29,Devin Carter,Guard,Big East,Providence,22.26,74.25,"6'2.25""",80.75,"6'8.75""",6.5,193,13,Sacramento Kings,SAC,1,NBA
30,Justin Edwards,Wing,SEC,Kentucky,20.51,78,"6'6""",82,"6'10""",4,209,UDFA,Philadelphia 76ers,PHI,1,NBA
31,Judah Mintz,Guard,ACC,Syracuse,20.95,76,"6'4""",75.5,"6'3.5""",-0.5,176,UDFA,Philadelphia 76ers,PHI,1,G-League
32,Ja'Kobe Walter,Wing,Big 12,Baylor,19.79,76.25,"6'4.25""",82,"6'10""",5.75,198,19,Toronto Raptors,TOR,1,NBA
33,Jamal Shead,Guard,Big 12,Houston,21.99,72.25,"6'0.25""",75,"6'3""",2.75,201,45,Toronto Raptors,TOR,1,NBA
34,Malevy Leons,Big,MVC,Bradley,24.75,81,"6'9""",85,"7'1""",4,210,UDFA,Oklahoma City Thunder,OKC,1,None
35,Kevin McCullar Jr.,Wing,Big 12,Kansas,23.27,77.25,"6'5.25""",81,"6'9""",3.75,206,56,New York Knicks,NYK,1,NBA
36,Carlton Carrington,Guard,ACC,Pittsburgh,18.92,75.75,"6'3.75""",78.5,"6'6.5""",2.75,190,14,Washington Wizards,WAS,1,None
37,Ajay Mitchell,Guard,Big West,UC Santa Barbara,21.99,75.25,"6'3.25""",78.25,"6'6.25""",3,197,38,Oklahoma City Thunder,OKC,1,NBA
38,Kyshawn George,Wing,ACC,Miami,20.52,79,"6'7""",82.25,"6'10.25""",3.25,209,24,Washington Wizards,WAS,1,NBA
39,Jaylen Wells,Wing,PAC 12,Washington State,20.82,78.5,"6'6.5""",79.25,"6'7.25""",0.75,206,39,Memphis Grizzlies,MEM,1,NBA
40,Bronny James,Guard,PAC 12,USC,19.64,73.5,"6'1.5""",79.25,"6'7.25""",5.75,210,55,Los Angeles Lakers,LAL,1,NBA
41,Reece Beekman,Guard,ACC,Virginia,22.7,73.25,"6'1.25""",78.5,"6'6.5""",5.25,196,UDFA,Golden State Warriors,GSW,1,NBA
42,Isaac Jones,Big,PAC 12,Washington State,23.88,79.75,"6'7.75""",87,"7'3""",7.25,245,UDFA,Sacramento Kings,SAC,1,NA
43,Nae'Qwan Tomlin,Big,American,Memphis,23.5,80.25,"6'8.25""",86.5,"7'2.5""",6.25,205,UDFA,Cleveland Cavaliers,CLE,1,NA
44,Enrique Freeman,Big,MAC,Akron,23.91,79.25,"6'7.25""",86,"7'2""",6.75,212,50,Indiana Pacers,IND,1,NBA
45,Terrence Shannon Jr.,Wing,Big 10,Illinois,23.89,77.75,"6'5.75""",80.75,"6'8.75""",3,219,27,Minnesota Timberwolves,MIN,1,NBA
46,PJ Hall,Big,ACC,Clemson,22.33,80.25,"6'8.25""",85.5,"7'1.5""",5.25,240,UDFA,Denver Nuggets,DEN,1,NBA
47,Anton Watson,Wing,WCC,Gonzaga,23.7,80,"6'8""",84,"7'0""",4,228,54,Boston Celtics,BOS,1,G-League
48,N'Faly Dante,Big,PAC 12,Oregon,22.67,82,"6'10""",90,"7'6""",8,260,UDFA,Houston Rockets,HOU,1,NBA
49,Tolu Smith,Big,SEC,Mississippi State,23.92,82.75,"6'10.75""",84,"7'0""",1.25,245,UDFA,Detroit Pistons,DET,1,None
50,Trey Alexander,Wing,Big East,Creighton,21.13,75.25,"6'3.25""",82.5,"6'10.5""",7.25,187,UDFA,Denver Nuggets,DEN,1,NBA
51,Eric Gaines,Guard,American,UAB,23.42,73.25,"6'1.25""",79.5,"6'7.5""",6.25,165,UDFA,Boston Celtics,BOS,1,None
52,Keshad Johnson,Wing,PAC 12,Arizona,22.99,78.25,"6'6.25""",82.25,"6'10.25""",4,224,UDFA,Miami Heat,MIA,1,NBA
53,Quinten Post,Big,ACC,Boston College,24.25,84,"7'0""",86.5,"7'2.5""",2.5,244,52,Golden State Warriors,GSW,1,NBA
54,Antonio Reeves,Wing,SEC,Kentucky,23.58,76.5,"6'4.5""",80.25,"6'8.25""",3.75,187,47,New Orleans Pelicans,NOP,1,NBA
55,Cam Christie,Wing,Big 10,Minnesota,18.91,76.5,"6'4.5""",80,"6'8""",3.5,190,46,Los Angeles Clippers,LAC,1,NBA
56,Josiah-Jordan James,Wing,SEC,Tennessee,23.8,78.25,"6'6.25""",83.25,"6'11.25""",5,214,UDFA,Indiana Pacers,IND,1,None
57,Zyon Pullin,Guard,SEC,Florida,23.31,75.5,"6'3.5""",77.75,"6'5.75""",2.25,205,UDFA,Miami Heat,MIA,1,G-League
58,Riley Minix,Wing,OVC,Morehead State,23.76,79.5,"6'7.5""",81.5,"6'9.5""",2,230,UDFA,San Antonio Spurs,SAS,1,None
59,Sean East,Guard,SEC,Missouri,24.61,73.25,"6'1.25""",75.75,"6'3.75""",2.5,180,UDFA,Los Angeles Lakers,LAL,1,G-League
60,Dylan Disu,Big,Big 12,Texas,23.63,81,"6'9""",84,"7'0""",3,225,UDFA,Toronto Raptors,TOR,1,None
61,Spencer Jones,Wing,PAC 12,Stanford,24.49,79,"6'7""",83,"6'11""",4,225,UDFA,Denver Nuggets,DEN,1,None
62,Jalen Bridges,Wing,Big 12,Baylor,23.1,78.75,"6'6.75""",82,"6'10""",3.25,213,UDFA,Phoenix Suns,PHX,1,NBA
63,Jesse Edwards,Big,Big 12,West Virginia,24.28,83.5,"6'11.5""",89,"7'5""",5.5,236,UDFA,Minnesota Timberwolves,MIN,1,NA
64,Donta Scott,Wing,Big 10,Maryland,23.56,79.5,"6'7.5""",83,"6'11""",3.5,230,UDFA,Golden State Warriors,GSW,1,None
65,Clarence Daniels,Wing,America East,New Hampshire,23.55,77.5,"6'5.5""",82.5,"6'10.5""",5,210,UDFA,Oklahoma City Thunder,OKC,1,G-League
66,Boogie Ellis,Guard,PAC 12,USC,23.54,72.75,"6'0.75""",79,"6'7""",6.25,190,UDFA,Sacramento Kings,SAC,1,NA
67,Isaiah Crawford,Wing,C-USA,Louisiana Tech,22.6,78,"6'6""",84,"7'0""",6,220,UDFA,Sacramento Kings,SAC,1,G-League
68,David Jones,Wing,American,Memphis,22.58,75.5,"6'3.5""",78.75,"6'6.75""",3.25,210,UDFA,Philadelphia 76ers,PHI,1,NBA
69,Tyler Thomas,Guard,CAA,Hofstra,24.4,75,"6'3""",N/A,N/A,N/A,195,UDFA,Chicago Bulls,CHI,1,None
70,Demarcus Sharp,Guard,ASUN,Austin Peay,25.5,75,"6'3""",N/A,N/A,N/A,170,UDFA,FK Radnički Niš,Radnički,1,None
71,Kenan Blackshear,Guard,Mountain West,Nevada,23.09,78.25,"6'6.25""",82,"6'10""",3.75,215,UDFA,Sacramento Kings,SAC,1,None
72,DJ Burns,Big,ACC,NC State,23.7,81,"6'9""",N/A,N/A,N/A,275,UDFA,Cleveland Cavaliers,CLE,1,None
73,Emanuel Miller,Wing,Big 12,TCU,24.02,78,"6'6""",81,"6'9""",3,215,UDFA,Chicago Bulls,CHI,1,G-League
74,Makhi Mitchell,Big,SEC,Arkansas,24.41,82,"6'10""",N/A,N/A,N/A,240,UDFA,Sheffield Sharks,Sheffield,1,None
75,Josh Morgan,Big,PAC 12,USC,22.72,83,"6'11""",N/A,N/A,N/A,195,UDFA,NCAA,Unsigned,1,None
76,Drew Pember,Big,Big South ,UNC Asheville,24.04,82.75,"6'10.75""",82,"6'10""",-0.75,215,UDFA,Memphis Grizzlies,MEM,1,None
77,Isaiah Stevens,Guard,Mountain West,Colorado State,23.65,71,"5'11""",76,"6'4""",5,185,UDFA,Miami Heat,MIA,1,G-League
78,Joel Soriano,Big,Big East,St. John's,24.41,82,"6'10""",87.5,"7'3.5""",5.5,256,UDFA,Charlotte Hornets,CHA,1,None
79,Hunter Cattoor,Guard,ACC,Virginia Tech,23.6,74.5,"6'2.5""",75,"6'3""",0.5,200,UDFA,Cleveland Cavaliers,CLE,1,None
80,Daniss Jenkins,Guard,Big East,St. John's,22.85,75.25,"6'3.25""",78.5,"6'6.5""",3.25,165,UDFA,Detroit Pistons,DET,1,None
81,Armando Bacot,Big,ACC,North Carolina,24.31,81,"6'9""",85,"7'1""",4,240,UDFA,Memphis Grizzlies,MEM,1,None
82,Tristan Enaruna,Wing,Horizon,Cleveland State,23,80.25,"6'8.25""",85,"7'1""",4.75,220,UDFA,Boston Celtics,BOS,1,G-League
83,Shahada Wells,Guard,Southland,McNeese State,24.83,71.25,"5'11.25""",77,"6'5""",5.75,184,UDFA,Houston Rockets,HOU,1,None
84,Josh Oduro,Big,Big East,Providence,23.7,81,"6'9""",85,"7'1""",4,240,UDFA,New Orleans Pelicans,NOP,1,None
85,Marcus Domask,Wing,Big 10,Illinois,23.8,78.25,"6'6.25""",78.5,"6'6.5""",0.25,211,UDFA,Chicago Bulls,CHI,1,None
86,Warren Washington,Big,Big 12,Texas Tech,24.32,84,"7'0""",N/A,N/A,N/A,225,UDFA,Miami Heat,MIA,1,None
87,Santiago Vescovi,Guard,SEC,Tennessee,22.78,75.25,"6'3.25""",78.5,"6'6.5""",3.25,188,UDFA,Golden State Warriors,GSW,1,None
88,Jamarion Sharp,Big,SEC,Ole Miss,22.83,87.75,"7'3.75""",93,"7'9""",5.25,235,UDFA,Dallas Mavericks,DAL,1,None
89,Alex Ducas,Wing,WCC,Saint Mary's,23.54,79.25,"6'7.25""",82,"6'10""",2.75,220,UDFA,Oklahoma City Thunder,OKC,1,None
90,Gabe McGlothan,Wing,WAC,Grand Canyon,25.32,79,"6'7""",N/A,N/A,N/A,235,UDFA,Denver Nuggets,DEN,1,None
91,RaeQuan Battle,Wing,Big 12,West Virginia,23.35,76.5,"6'4.5""",80,"6'8""",3.5,195,UDFA,Charlotte Hornets,CHA,1,None
92,Justin Moore,Wing,Big East,Villanova,24.21,77,"6'5""",N/A,N/A,N/A,210,UDFA,Milwaukee Bucks,MIL,1,None
93,Jordan Wright,Wing,SEC,LSU,23.76,77.5,"6'5.5""",79.5,"6'7.5""",2,230,UDFA,Detroit Pistons,DET,1,None
94,Casey Morsell,Guard,ACC,NC State,23.48,75,"6'3""",N/A,N/A,N/A,200,UDFA,NCAA,Unsigned,1,None
95,Jaden Bediako,Big,Big East,Seton Hall,23.78,82,"6'10""",N/A,N/A,N/A,245,UDFA,KK Mornar Bar,KK Mornar,1,None
96,Blake Hinson,Wing,ACC,Pittsburgh,23.5,77.75,"6'5.75""",82.5,"6'10.5""",4.75,230,UDFA,Los Angeles Lakers,LAL,1,G-League
97,Mohamed Diarra,Big,ACC,NC State,24.48,82,"6'10""",N/A,N/A,N/A,225,UDFA,Los Angeles Lakers,LAL,1,None
98,Trey Calvin,Guard,Horizon,Wright State,23.41,72,"6'0""",N/A,N/A,N/A,165,UDFA,Frankfurt,Frankfurt,1,None
99,Kevin Cross,Wing,American,Tulane,24.43,80,"6'8""",N/A,N/A,N/A,225,UDFA,Charlotte Hornets,CHA,1,None
100,Tre Mitchell,Big,SEC,Kentucky,23.76,81,"6'9""",N/A,N/A,N/A,240,UDFA,Oklahoma City Thunder,OKC,1,None
101,Jarron Coleman,Guard,Big 10,Nebraska,24.81,77,"6'5""",N/A,N/A,N/A,213,UDFA,BC GAU Tbilisi,Tbilisi,1,None
102,Tyrese Samuel,Big,SEC,Florida,24.3,81.25,"6'9.25""",87.5,"7'3.5""",6.25,239,UDFA,Phoenix Suns,PHX,1,None
103,Jahmir Young,Guard,Big 10,Maryland,23.72,72.75,"6'0.75""",76.5,"6'4.5""",3.75,185,UDFA,Denver Nuggets,DEN,1,None
104,Jalen Cook,Guard,SEC,LSU,22.26,72,"6'0""",N/A,N/A,N/A,194,UDFA,NCAA,Unsigned,1,None
105,Xavier Johnson,Guard,MVC,Southern Illinois,24.7,72.75,"6'0.75""",77.5,"6'5.5""",4.75,189,UDFA,Dallas Mavericks,DAL,1,None
106,Elijah Pepper,Guard,Big West,UC Davis,23.13,76,"6'4""",N/A,N/A,N/A,200,UDFA,Perth,Perth,1,None
107,DJ Horne,Guard,ACC,NC State,23.65,74,"6'2""",N/A,N/A,N/A,175,UDFA,San Antonio Spurs,SAS,1,None
108,Jamison Battle,Wing,Big 10,Ohio State,23.12,79.25,"6'7.25""",81,"6'9""",1.75,220,UDFA,Toronto Raptors,TOR,1,None
109,Allen Flanigan,Wing,SEC,Ole Miss,23.18,78.75,"6'6.75""",81,"6'9""",2.25,215,UDFA,Stade Rochelais,Rochelais,1,G-League
110,Joel Scott,Big,Mountain West,Colorado State,23.19,79,"6'7""",N/A,N/A,N/A,225,UDFA,MHP Riesen,MHP Riesen,1,None
111,Jaedon LeDee,Wing,Mountain West,San Diego State,24.92,79.75,"6'7.75""",83,"6'11""",3.25,240,UDFA,Minnesota Timberwolves,MIN,1,G-League
112,Jaelen House,Guard,Mountain West,New Mexico,23.15,71.25,"5'11.25""",74.25,"6'2.25""",3,165,UDFA,Boston Celtics,BOS,1,G-League
113,Vonterius Woolbright,Wing,Southern,Western Carolina,23.72,77.25,"6'5.25""",78.5,"6'6.5""",1.25,215,UDFA,Houston Rockets,HOU,1,None
114,Isaiah Cozart,Big,ASUN,Eastern Kentucky,23.21,79,"6'7""",N/A,N/A,N/A,240,UDFA,SC Rasta Vechta,SC Rasta,1,None
115,Quincy Olivari,Wing,Big East,Xavier,23.08,74.5,"6'2.5""",79,"6'7""",4.5,200,UDFA,Los Angeles Lakers,LAL,1,None
116,Jahvon Quinerly,Guard,American,Memphis,25.59,73.5,"6'1.5""",76,"6'4""",2.5,175,UDFA,NCAA,Unsigned,1,None
117,Keion Brooks Jr.,Wing,PAC 12,Washington,23.88,78.75,"6'6.75""",82.5,"6'10.5""",3.75,210,UDFA,New Orleans Pelicans,NOP,1,G-League
118,Boo Buie,Guard,Big 10,Northwestern,23.55,74,"6'2""",N/A,N/A,N/A,180,UDFA,New York Knicks,NYK,1,None
119,RayJ Dennis,Guard,Big 12,Baylor,23.24,74.75,"6'2.75""",80.5,"6'8.5""",5.75,180,UDFA,Indiana Pacers,IND,1,None
