Rank,Name,Role,Pre-NBA,Actual Pick,NBA Team,ABV,Class,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),NCAAM,combine_invite,combine_invite
1,Cooper Flagg,Big,Duke,1,Dallas Mavericks,DAL,Fr.,18.5,79.75,"6'7.75""",84,"7'0""",4.25,221,1,NBA,NBA
2,Dylan Harper,Guard,Rutgers,2,San Antonio Spurs,SAS,Fr.,19.3,76.5,"6'4.5""",82.5,"6'10.5""",6,213,1,NBA,NBA
3,Tre Johnson,Guard,Texas,5,Utah Jazz,UTA,Fr.,19.29,76.75,"6'4.75""",82.25,"6'10.25""",5.5,190,1,NBA,NBA
4,Kasparas Jakucionis,Guard,Illinois,20,Miami Heat,MIA,Fr.,19.07,76.75,"6'4.75""",79.75,"6'7.75""",3,205,1,NBA,NBA
5,Thomas Sorber,Big,Georgetown,15,Oklahoma City Thunder,OKC,Fr.,19.5,81.5,"6'9.5""",90,"7'6""",8.5,263,1,NBA,NBA
6,Derik Queen,Big,Maryland,13,New Orleans Pelicans,NOP,Fr.,20.49,81.25,"6'9.25""",84.5,"7'0.5""",3.25,248,1,NBA,NBA
7,Collin Murray-Boyles,Wing,South Carolina,9,Toronto Raptors,TOR,So.,20.04,78.5,"6'6.5""",84.75,"7'0.75""",6.25,239,1,NBA,NBA
8,Drake Powell,Wing,North Carolina,22,Brooklyn Nets,BKN,Fr.,19.8,77.25,"6'5.25""",84,"7'0""",6.75,200,1,NBA,NBA
9,Yanic Konan N.,Big,Penn State,30,Los Angeles Clippers,LAC,Jr.,22.28,83.25,"6'11.25""",87.25,"7'3.25""",4,243,1,NBA,NBA
10,Jeremiah Fears,Guard,Oklahoma,7,New Orleans Pelicans,NOP,Fr.,18.7,74.5,"6'2.5""",77.25,"6'5.25""",2.75,180,1,NBA,NBA
11,Asa Newell,Big,Georgia,23,Atlanta Hawks,ATL,Fr.,19.71,81,"6'9""",83.25,"6'11.25""",2.25,224,1,NBA,NBA
12,Nique Clifford,Wing,Colorado State,24,Sacramento Kings,SAC,Sr.,23.38,77.25,"6'5.25""",80,"6'8""",2.75,202,1,NBA,NBA
13,Adou Thiero,Wing,Arkansas,36,Los Angeles Lakers,LAL,Jr.,21.13,78.25,"6'6.25""",84,"7'0""",5.75,218,1,NBA,NBA
14,Khaman Maluach,Big,Duke,10,Phoenix Suns,PHX,Fr.,18.76,84.5,"7'0.5""",90.75,"7'6.75""",6.25,253,1,NBA,NBA
15,Kon Knueppel,Wing,Duke,4,Charlotte Hornets,CHA,Fr.,19.88,77,"6'5""",78.25,"6'6.25""",1.25,219,1,NBA,NBA
16,VJ Edgecombe,Wing,Baylor,3,Philadelphia 76ers,PHI,Fr.,19.89,76,"6'4""",79.5,"6'7.5""",3.5,193,1,NBA,NBA
17,Egor Demin,Guard,BYU,8,Brooklyn Nets,BKN,Fr.,19.31,80.25,"6'8.25""",82.25,"6'10.25""",2,199,1,NBA,NBA
18,Carter Bryant,Big,Arizona,14,San Antonio Spurs,SAS,Fr.,19.58,78.5,"6'6.5""",83.75,"6'11.75""",5.25,215,1,NBA,NBA
19,Ace Bailey,Wing,Rutgers,6,Washington Wizards,WAS,Fr.,18.85,79.75,"6'7.75""",84.5,"7'0.5""",4.75,203,1,NBA,NBA
20,Jahmai Mashack,Wing,Tennessee,59,Memphis Grizzlies,MEM,Sr.,22.62,74.75,"6'2.75""",79.75,"6'7.75""",5,197,1,G-League,G-League
21,Danny Wolf,Big,Michigan,27,Brooklyn Nets,BKN,Jr.,21.14,82.5,"6'10.5""",86.25,"7'2.25""",3.75,252,1,NBA,NBA
22,Jase Richardson,Guard,Michigan State,25,Orlando Magic,ORL,Fr.,19.69,72.5,"6'0.5""",78,"6'6""",5.5,178,1,NBA,NBA
23,Rasheer Fleming,Big,Saint Joseph's,31,Phoenix Suns,PHX,Jr.,20.96,80.25,"6'8.25""",89.75,"7'5.75""",9.5,232,1,NBA,NBA
24,Sion James,Wing,Duke,33,Charlotte Hornets,CHA,Gr.,22.56,76.5,"6'4.5""",78.5,"6'6.5""",2,218,1,NBA,NBA
25,Chaz Lanier,Wing,Tennessee,37,Detroit Pistons,DET,Gr.,23.52,75.75,"6'3.75""",81,"6'9""",5.25,206,1,NBA,NBA
26,Hunter Sallis,Wing,Wake Forest,UDFA,Philadelphia 76ers,PHI,Sr.,22.25,75.75,"6'3.75""",82,"6'10""",6.25,181,1,NBA,NBA
27,Ryan Kalkbrenner,Big,Creighton,34,Charlotte Hornets,CHA,Gr.,23.44,85,"7'1""",90,"7'6""",5,257,1,NBA,NBA
28,Caleb Grill,Wing,Missouri,,G League Elite Camp,,Gr.,25.03,74.25,"6'2.25""",79.5,"6'7.5""",5.25,204,1,G-League,G-League
29,Will Riley,Wing,Illinois,21,Washington Wizards,WAS,Fr.,19.37,80.25,"6'8.25""",80.75,"6'8.75""",0.5,186,1,NBA,NBA
30,Maxime Raynaud,Big,Stanford,42,Sacramento Kings,SAC,Sr.,22.22,84.25,"7'0.25""",85.25,"7'1.25""",1,237,1,NBA,NBA
31,Grant Nelson,Big,Alabama,,NBA Combine,,Gr.,23.27,82,"6'10""",84,"7'0""",2,230,1,NBA,NBA
32,Kobe Johnson,Wing,UCLA,,G League Elite Camp,,Sr.,22.44,76.5,"6'4.5""",79.5,"6'7.5""",3,193,1,G-League,G-League
33,Jamir Watkins,Wing,Florida State,43,Washington Wizards,WAS,Sr.,23.98,77,"6'5""",83.25,"6'11.25""",6.25,215,1,NBA,NBA
34,Ryan Nembhard,Guard,Gonzaga,UDFA,Dallas Mavericks,DAL,Sr.,22.29,71,"5'11""",74.25,"6'2.25""",3.25,176,1,NBA,NBA
35,Tyrese Proctor,Guard,Duke,49,Cleveland Cavaliers,CLE,Jr.,21.23,76.25,"6'4.25""",79.25,"6'7.25""",3,183,1,NBA,NBA
36,Will Richard,Wing,Florida,56,Golden State Warriors,GSW,Sr.,22.5,75.25,"6'3.25""",81.75,"6'9.75""",6.5,210,1,G-League,G-League
37,Walter Clayton Jr.,Guard,Florida,18,Utah Jazz,UTA,Sr.,22.3,74,"6'2""",76,"6'4""",2,199,1,NBA,NBA
38,Liam McNeeley,Wing,UConn,29,Charlotte Hornets,CHA,Fr.,19.71,78.75,"6'6.75""",80.5,"6'8.5""",1.75,215,1,NBA,NBA
39,Mark Sears,Guard,Alabama,UDFA,Milwaukee Bucks,MIL,Sr.,23.35,70.75,"5'10.75""",74,"6'2""",3.25,183,1,NBA,NBA
