Board,Count,Year(s),Align. w/ Cons.,Align. w/ NBA,Avg Z-Score,Lottery %ile,Lottery Rank,Link 1,Link 2
@Okachukwudi,3,"2021, 2022, 2023",0.86,0.713,1.332,1.000,1,https://x.com/Okachukwudi,
@jamesbonknight,2,"2022, 2023",0.41,0.6,0.984,0.989,2,,
@thebigwafe,3,"2021, 2022, 2023",0.657,0.513,0.895,0.977,3,https://x.com/thebigwafe,
@codyreeves14,5,"2020, 2021, 2022, 2023, 2024",0.482,-0.174,0.822,0.966,4,https://x.com/codyreeves14,
@thecity2,2,"2021, 2022",0.84,0.035,0.646,0.954,5,,
@mikerothou,2,"2022, 2023",0.4,-0.245,0.644,0.943,6,,
@Fiizop,2,"2023, 2024",-0.895,-0.745,0.607,0.931,7,https://x.com/Fiizop,
@mikegrib8,3,"2020, 2021, 2022",0.017,-0.183,0.55,0.920,8,https://x.com/mikegrib8,
@JeremyWoo,3,"2020, 2021, 2022",0.343,1.513,0.535,0.908,9,https://x.com/JeremyWoo,
@ziyanm_,2,"2022, 2023",0.96,-0.495,0.504,0.897,10,https://x.com/ziyanm_,
@_thedealzone,2,"2022, 2024",-0.22,-0.195,0.444,0.885,11,https://x.com/_thedealzone,
@ChuckingDarts,2,"2021, 2024",-0.37,-0.055,0.436,0.874,12,https://x.com/ChuckingDarts,https://bsky.app/profile/chuckingdartsnba.bsky.social
Tankathon,2,"2022, 2023",0.84,1.075,0.42,0.862,13,https://www.tankathon.com/,
@jwi23,2,"2021, 2022",-0.485,0.445,0.406,0.851,14,https://x.com/jwi23,
@DraftPow,4,"2021, 2022, 2023, 2024",-1.022,-0.582,0.375,0.839,15,,
