Board,Count,Year(s),Avg Z-Score,Top 30 %ile,Top 30 Rank,Link 1,Link 2
@ChuckingDarts,2,"2021, 2024",1.225,1.000,1,https://x.com/ChuckingDarts,https://bsky.app/profile/chuckingdartsnba.bsky.social
@Okachukwudi,3,"2021, 2022, 2023",1.104,0.988,2,https://x.com/Okachukwudi,
@ziyanm_,2,"2022, 2023",0.966,0.976,3,https://x.com/ziyanm_,
@Fiizop,2,"2023, 2024",0.889,0.964,4,https://x.com/Fiizop,
@JeremyWoo (ESPN),3,"2020, 2021, 2022",0.712,0.952,5,https://x.com/JeremyWoo,
Nick Heintzman,4,"2021, 2022, 2023, 2024",0.696,0.940,6,https://www.nba-draft-scouting.com/,
@mikerothou,2,"2022, 2023",0.597,0.928,7,,
NBA,5,"2020, 2021, 2022, 2023, 2024",0.579,0.916,8,,
@ADSohn,3,"2020, 2021, 2022",0.572,0.904,9,https://x.com/ADSohn,
Consensus,5,"2020, 2021, 2022, 2023, 2024",0.554,0.892,10,,
@British_Buzz,4,"2020, 2021, 2022, 2024",0.533,0.880,11,https://x.com/British_Buzz,
@_thedealzone,2,"2022, 2024",0.521,0.867,12,https://x.com/_thedealzone,
@ZP12Hoops,4,"2021, 2022, 2023, 2024",0.498,0.855,13,https://x.com/ZP12Hoops,
@thebigwafe,3,"2021, 2022, 2023",0.472,0.843,14,https://x.com/thebigwafe,
@codyreeves14,5,"2020, 2021, 2022, 2023, 2024",0.465,0.831,15,https://x.com/codyreeves14,
