Board,Count,Year(s),Align. w/ Cons.,Align. w/ NBA,Avg Z-Score,Top 60 %ile,Top 60 Rank,Link 1,Link 2
@British_Buzz,2,"2020, 2022",0.54,0.745,1.33,1.000,1,https://x.com/British_Buzz,
@Okachukwudi,3,"2021, 2022, 2023",0.84,0.473,1.123,0.982,2,https://x.com/Okachukwudi,
@JeremyWoo,3,"2020, 2021, 2022",0.313,1.587,1.08,0.964,3,https://x.com/JeremyWoo,
@DraftDummies,2,"2021, 2023",0.115,0.69,0.829,0.945,4,https://x.com/DraftDummies,
@qkhoops,2,"2021, 2022",-1.015,-1.055,0.772,0.927,5,https://x.com/qkhoops,
@ADSohn,3,"2020, 2021, 2022",0.59,-0.207,0.769,0.909,6,https://x.com/ADSohn,
@HoopIntelllect,3,"2020, 2021, 2024",1.12,1.24,0.761,0.873,7,https://www.youtube.com/@HoopIntellect,https://x.com/HoopIntelllect
Tankathon,2,"2022, 2023",1.12,1.4,0.761,0.873,8,https://www.tankathon.com/,
Consensus,5,"2020, 2021, 2022, 2023, 2024",,0.98,0.724,0.855,9,,
Kevin O'Connor,3,"2021, 2023, 2024",0.31,1.36,0.715,0.836,10,https://x.com/KevinOConnor,https://www.youtube.com/playlist?list=PLtAg01865jDfvaiOL5KNcdogZDIw5uI59
@ephelant48,2,"2021, 2022",-0.43,-1.67,0.622,0.818,11,https://x.com/ephelant48,
ESPN,3,"2022, 2023, 2024",0.663,1.467,0.573,0.800,12,https://www.espn.com/nba/,
@jwi23,2,"2021, 2022",0.185,-0.285,0.528,0.782,13,https://x.com/jwi23,
Coach Spins,2,"2022, 2023",0.015,0.56,0.524,0.764,14,https://www.youtube.com/c/adamspinella,https://x.com/TheBoxAndOne_
@beenthrifty,3,"2020, 2021, 2022",-0.513,-1.47,0.501,0.745,15,https://x.com/beenthrifty,
